Disc CE Loss,Disc Acc,Grad Pen,Grad Pen W,Disc Rew Mean,Disc Rew Std,Disc Rew Max,Disc Rew Min,Reward Scale,QF1 Loss,QF2 Loss,Alpha Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q1 Predictions Min,Q2 Predictions Mean,Q2 Predictions Std,Q2 Predictions Max,Q2 Predictions Min,Alpha Mean,Alpha Std,Alpha Max,Alpha Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Test Rewards Mean,Test Rewards Std,Test Rewards Max,Test Rewards Min,Test Returns Mean,Test Returns Std,Test Returns Max,Test Returns Min,Test Actions Mean,Test Actions Std,Test Actions Max,Test Actions Min,Test Ep. Len. Mean,Test Ep. Len. Std,Test Ep. Len. Max,Test Ep. Len. Min,Num Paths,Exploration Rewards Mean,Exploration Rewards Std,Exploration Rewards Max,Exploration Rewards Min,Exploration Returns Mean,Exploration Returns Std,Exploration Returns Max,Exploration Returns Min,Exploration Actions Mean,Exploration Actions Std,Exploration Actions Max,Exploration Actions Min,Exploration Ep. Len. Mean,Exploration Ep. Len. Std,Exploration Ep. Len. Max,Exploration Ep. Len. Min,AverageReturn,Number of train calls total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.72805166,0.27539062,0.70917183,0.5,-5.7389607,1.4514494,-1.3894622,-9.607778,2.0,1.2042564,1.2071174,-11.104591,0.24064612,-0.0016714362,0.0038052602,0.009914457,-0.011720702,0.00013710221,0.0027819572,0.010273963,-0.00837379,0.199940008999187,0.0,0.199940008999187,0.199940008999187,1.1003301,0.65034693,3.6729774,-0.4030733,7.511768e-05,0.0025589657,0.008717011,-0.0064069573,0.0005448839,0.0023129357,0.008381382,-0.0066268323,0.1856188923208184,0.4659325661594681,2.9740278273454397,-1.9420422898726777,185.61889232081876,55.627695045246725,230.02211316843946,-40.6279885373839,0.0870998,0.4618364,0.96120006,-0.9536187,1000.0,0.0,1000,1000,10,-0.5002688095453595,0.6510001038044609,2.451720726828391,-3.5213578775459045,-500.26880954535926,197.25582357308764,-44.74151043423089,-706.3634266234287,-0.005198003,0.61714935,0.9995889,-0.9993885,1000.0,0.0,1000,1000,185.61889232081876,6,10000,10,92.16734871454537,0,13.377029133960605,105.54437784850597,123.35481109842658,0
0.006525513,1.0,0.0020536599,0.5,-5.6755366,1.2426775,-2.400051,-9.348951,2.0,4.3307343,4.997678,0.65669453,225.32733,-228.05984,13.846447,-200.449,-265.2567,-228.43298,13.68682,-200.61565,-265.58337,0.15901604892165566,0.0,0.15901604892165566,0.15901604892165566,8.357106,2.313049,14.229601,0.1168561,-0.023644574,0.6299163,1.8153619,-2.0818892,-1.2440116,0.23196326,-0.23986876,-1.906531,0.5278361660895491,0.9884774385952838,3.9428068320683565,-2.819356823602382,450.35421554232124,156.15260558028243,651.7000379232293,43.032636759614306,-0.007566219,0.51663643,0.9913933,-0.9945971,853.2083333333334,249.97899564541194,1000,99,10,0.07705164851893752,0.7903496776907305,3.545187702435097,-2.829947822528138,77.05164851893764,215.1984035967463,581.2698249318651,-224.28036161513037,0.012335422,0.50754464,0.99845064,-0.9990413,1000.0,0.0,1000,1000,450.35421554232124,16,20000,20,155.60318433120847,17.965821970254183,15.471534920856357,189.040541222319,313.47517341561615,1
0.0067743827,1.0,0.0026967523,0.5,-5.2645044,1.0964751,-0.51843214,-8.100617,2.0,6.9959455,8.536762,-0.18376008,553.7954,-553.92883,21.872849,-508.61768,-601.2165,-554.7959,21.748672,-510.54114,-606.49457,0.15648863830049045,0.0,0.15648863830049045,0.15648863830049045,7.9009237,2.5649107,14.317175,-0.5048733,-0.014662636,0.67670095,1.9147632,-2.673353,-1.1516838,0.26007694,-0.34982795,-1.937158,0.14566356747626155,0.4099501214653468,3.391688992322173,-1.9056352848838034,137.77125054754782,84.17820700965204,215.8809881715512,-129.856383177397,0.04654215,0.4749116,0.9917186,-0.99370414,945.8181818181819,203.80017761693492,1000,38,10,0.3535165360179819,0.9845437917984152,5.141713117997382,-2.5033256663148187,353.51653601798233,332.35642445110705,897.087983318043,-166.63692769506335,-0.011860495,0.52669656,0.9978454,-0.9985479,1000.0,0.0,1000,1000,137.77125054754782,26,30000,30,156.3268633633852,18.950553972274065,16.96287333406508,192.24029066972435,506.71765530481935,2
0.008011021,1.0,0.002884781,0.5,-5.4137716,1.0721459,-1.5855916,-8.986808,2.0,11.097195,10.014207,-0.04433853,797.22076,-793.4873,33.156136,-728.5365,-856.25586,-795.9131,32.694313,-731.5381,-858.62006,0.21044577838524844,0.0,0.21044577838524844,0.21044577838524844,7.971549,2.634752,15.967808,-0.05355048,-0.017735478,0.69442534,2.0972598,-2.457266,-1.136931,0.25157344,-0.35640186,-1.9035255,0.3601955646496593,1.0583814871023254,4.730912171927059,-2.7379172067411996,139.0216342792051,176.43355588270322,707.6144477448395,-275.76048041932,-0.046944123,0.54010445,0.9932925,-0.9818779,385.96153846153845,386.8780846298533,1000,21,10,0.10337578705549293,0.8210277065078874,4.884891873601866,-2.403783155895917,103.37578705549296,244.89088320585827,656.7554366304627,-410.977103745277,0.0030390937,0.5293869,0.9983716,-0.99951303,1000.0,0.0,1000,1000,139.0216342792051,36,40000,40,156.05841679126024,19.961578166112304,17.142231814563274,193.16222677193582,699.6299753412604,3
0.010473588,1.0,0.0028806692,0.5,-5.4986496,1.0854963,-1.3920957,-8.387939,2.0,14.742549,17.557098,0.4812249,958.49664,-954.298,45.880283,-852.6812,-1050.8654,-952.5709,45.837536,-847.3827,-1038.7343,0.27073834313328726,0.0,0.27073834313328726,0.27073834313328726,8.368155,2.3759484,16.966389,1.5413625,-0.0045973025,0.67247957,2.104436,-2.5102494,-1.1764334,0.22448929,-0.50843096,-1.943615,1.4314648451082153,1.1293109008066307,4.975680102184325,-2.8757558456576566,392.39546463540745,415.85669189883964,1753.3471808931565,-9.289990638569025,-0.03848728,0.5168498,0.99565244,-0.99062955,274.1216216216216,273.9510191327216,1000,18,10,0.2996915019295813,0.9733415436207667,4.813648032390489,-2.901927327427468,299.6915019295815,284.7076469757819,850.3338016632932,-69.6744255454089,0.0031091804,0.53156936,0.9981743,-0.99959606,1000.0,0.0,1000,1000,392.39546463540745,46,50000,50,153.82871559634805,19.70008129440248,17.06807208992541,190.59686898067594,890.6176136378199,4
0.010897357,1.0,0.0048856125,0.5,-5.4317465,1.4454368,-1.2413025,-9.062903,2.0,14.958023,31.440695,-0.21301588,1103.0582,-1104.2095,63.84459,-969.591,-1186.684,-1108.8236,63.483524,-972.8023,-1196.0206,0.2961316682833061,0.0,0.2961316682833061,0.2961316682833061,7.8249297,2.188704,15.546883,1.4219495,0.018143164,0.6328304,2.8172488,-1.8815306,-1.1579868,0.22485775,-0.32925266,-1.9631813,1.1197395390327334,1.4902259094271195,5.238534765524207,-2.8521923291637923,778.1031445030223,693.9331220894288,2339.0486468078957,-188.32132656500337,0.018983481,0.5193697,0.9934405,-0.98479027,694.8965517241379,360.5717055118102,1000,42,10,1.154300486890696,1.2862194227740484,4.893276261470049,-3.0219477105559873,1154.300486890696,674.906069913279,2198.2941217695047,-278.84438579550493,0.00048362164,0.52041644,0.99951315,-0.99779856,1000.0,0.0,1000,1000,778.1031445030223,56,60000,60,156.36707769334316,20.089581506326795,16.27265993691981,192.72931913658977,1084.1010339148343,5
0.014542553,1.0,0.0071822223,0.5,-5.161034,1.526177,-0.2771775,-8.084525,2.0,19.90038,22.450691,0.11155686,1185.8651,-1183.1315,88.139275,-1030.7115,-1307.4528,-1184.804,87.94359,-1036.2004,-1308.6882,0.40244712427016655,0.0,0.40244712427016655,0.40244712427016655,8.122543,2.490473,14.58735,0.8830291,0.027232572,0.6651365,2.4550343,-2.496164,-1.1595548,0.25257492,-0.30575353,-1.8771349,1.8616863300705115,1.7094765806364416,5.961492074014532,-2.43483674125021,829.2364622207406,941.2725061258301,3169.106389912567,-117.21397860647974,-0.015228675,0.48997897,0.99099696,-0.98817986,445.4222222222222,394.449855361948,1000,10,10,1.2270561574053613,1.486196109661994,5.475367961160693,-2.705131389842611,1227.0561574053613,841.828794319008,2300.76035109861,200.421580336075,0.014378688,0.51933724,0.9990502,-0.9992953,1000.0,0.0,1000,1000,829.2364622207406,66,70000,70,154.4360109437257,20.836802760139108,16.7943697553128,192.0671834591776,1276.8512285538018,6
0.024058238,0.9980469,0.01111948,0.5,-4.987064,1.7607903,-0.7824852,-7.9091597,2.0,33.946426,30.785913,-0.08206727,1259.5226,-1262.5508,109.64455,-1112.1274,-1439.0225,-1261.663,109.899284,-1115.2343,-1438.4023,0.5133611431186966,0.0,0.5133611431186966,0.5133611431186966,7.876914,2.4967437,14.013918,-0.8602557,0.0034372332,0.6488944,2.2419307,-2.2867863,-1.177538,0.281989,-0.28891104,-1.93913,1.7923982776709104,1.852968103511513,6.414067017321912,-2.7836842327936173,377.53567932836756,340.7129243352631,1719.516379237386,-121.66403843231464,0.02066844,0.4826793,0.99459076,-0.9868306,210.6315789473684,264.30122578251223,1000,12,10,1.7270610490226617,1.6453474915249844,5.600980982792706,-2.368394137710455,1727.0610490226609,954.9832503670899,2798.682379940704,-50.706062050844245,0.014492134,0.5189279,0.9987599,-0.9995582,1000.0,0.0,1000,1000,377.53567932836756,76,80000,80,155.08936327137053,21.52243468351662,16.70782170817256,193.3196196630597,1470.3844566401094,7
0.03758183,0.99609375,0.013915094,0.5,-4.811978,1.7483989,-1.3253467,-7.7664757,2.0,36.698128,44.34145,-0.10801707,1335.24,-1327.4213,135.3939,-1168.7235,-1543.3772,-1325.4316,135.74345,-1165.5687,-1551.7812,0.5794599288515172,0.0,0.5794599288515172,0.5794599288515172,7.801897,2.5893226,17.297804,1.0049089,-0.0020639193,0.6041711,2.2882328,-2.1034749,-1.188427,0.30659172,-0.40419984,-1.9305682,3.376856666733475,1.2653974447906065,6.21638399793861,-2.76700516985977,2266.306546819031,1152.4251764599478,3800.4939710439244,375.07019787075984,0.023084788,0.4539417,0.99205637,-0.98415464,671.1290322580645,331.2990795714198,1000,111,10,2.30309429624845,1.640030286256935,6.262455040930433,-2.6769615200917825,2303.09429624845,772.6603007579506,3173.0416984119606,710.536163542665,0.014472521,0.49596536,0.99974275,-0.9986384,1000.0,0.0,1000,1000,2266.306546819031,86,90000,90,155.47801324352622,21.744366301223636,16.90232976526022,194.12470931001008,1665.4956898000091,8
0.042619277,0.99609375,0.021213641,0.5,-4.6860676,1.7666864,-0.3362884,-8.18526,2.0,41.61393,48.59755,0.08505988,1353.5043,-1344.1522,116.96128,-1227.8607,-1610.5708,-1342.274,116.570114,-1221.1399,-1604.1128,0.6757971661635565,0.0,0.6757971661635565,0.6757971661635565,8.216944,2.4341977,13.299187,0.23724937,0.021150054,0.58113486,2.177434,-2.2347271,-1.2635679,0.28939128,-0.30768725,-1.9020245,3.5653698478771,1.3661989784737454,6.404612056656653,-2.630740822665684,1835.9826321773273,1469.2397443448763,3933.53404179535,84.52355811599477,0.06009541,0.43237698,0.9880428,-0.9915888,514.9487179487179,392.8459571996381,1000,39,10,1.5237346535233307,1.774249224534226,6.215001662480482,-2.7754136761251016,1523.7346535233307,1121.9672269108128,2984.994713817034,136.16139065904338,0.047512777,0.5067705,0.9989178,-0.9987607,1000.0,0.0,1000,1000,1835.9826321773273,96,100000,100,155.6720605045557,22.74784692376852,15.559850603342056,193.97975803166628,1858.9238018076867,9
0.041994724,0.99609375,0.019856758,0.5,-4.5848026,1.8579326,-0.7756729,-8.416581,2.0,77.76788,92.00241,0.077095136,1440.195,-1426.522,136.30304,-1276.1752,-1681.8622,-1423.8512,135.49718,-1271.8031,-1680.4667,0.6229435474654317,0.0,0.6229435474654317,0.6229435474654317,8.162807,2.479909,14.220732,0.14011955,0.06820895,0.562918,1.8564305,-1.933435,-1.2738175,0.30418724,-0.46613395,-1.9504195,3.5288766057844643,1.2985777714217852,6.73167862306203,-2.729076035933303,1641.4890338770601,1227.5585924454367,3666.0570304389075,23.13708751226043,0.054606337,0.46964145,0.98933816,-0.9924837,465.15909090909093,336.5622286903147,1000,20,10,2.594408617105573,1.688231577257649,6.186257458200544,-2.4882822728554914,2594.4086171055724,1028.8867183552313,3356.5031434649136,-130.69536848597608,0.05968988,0.49541453,0.9990088,-0.9991311,1000.0,0.0,1000,1000,1641.4890338770601,106,110000,110,153.9219325967133,22.181576596572995,15.574754411354661,191.67826360464096,2051.160486869514,10
0.04453847,1.0,0.021451265,0.5,-3.9454155,1.7006894,-0.25725195,-7.82329,2.0,40.18534,65.83497,-0.039612178,1463.5817,-1451.031,150.34628,-1295.58,-1720.143,-1445.078,151.80614,-1289.4905,-1715.6874,0.6264376381042929,0.0,0.6264376381042929,0.6264376381042929,7.9152875,2.8119056,15.099983,1.312474,0.07914533,0.60385436,2.3363507,-2.1018846,-1.1910385,0.31911302,-0.36367357,-1.9286995,3.9075764821351227,1.2422792978469412,7.1390885344632125,-2.499443628255182,2510.617889771817,1493.8541927167687,4171.652319655177,18.78935832995395,0.083798125,0.44130388,0.994008,-0.9935365,642.5,373.01080748418,1000,19,10,3.1333044849264398,1.3297542112419545,6.429450824883901,-2.580075969129269,3133.30448492644,245.73756992749685,3595.576299775991,2794.0027769693434,0.05723353,0.48869017,0.99888325,-0.998451,1000.0,0.0,1000,1000,2510.617889771817,116,120000,120,155.59138363599777,22.74329457245767,14.347006369382143,192.6816845778376,2243.960926119238,11
