Inverse-Dynamic-MSE,Valid-InvDyn-MSE,State-Pred-Expt-MSE,State-Pred-Real-MSE,Test Rewards Mean,Test Rewards Std,Test Rewards Max,Test Rewards Min,Test Returns Mean,Test Returns Std,Test Returns Max,Test Returns Min,Test Actions Mean,Test Actions Std,Test Actions Max,Test Actions Min,Test Ep. Len. Mean,Test Ep. Len. Std,Test Ep. Len. Max,Test Ep. Len. Min,Num Paths,Test Pred_Real_MSE,Exploration Rewards Mean,Exploration Rewards Std,Exploration Rewards Max,Exploration Rewards Min,Exploration Returns Mean,Exploration Returns Std,Exploration Returns Max,Exploration Returns Min,Exploration Actions Mean,Exploration Actions Std,Exploration Actions Max,Exploration Actions Min,Exploration Ep. Len. Mean,Exploration Ep. Len. Std,Exploration Ep. Len. Max,Exploration Ep. Len. Min,AverageReturn,Number of train calls total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.5635529,0.67950076,0.11623604,1397.3425,2.246408183592747,1.1289583763676732,6.20339770237854,-2.7964962729677385,291.0765287695272,52.42095644868786,440.933769306474,92.83649411060355,0.249625,0.62836015,1.0,-1.0,129.5741935483871,19.25648558935045,220,96,10,30.68809698723432,0.9091609744417145,1.2770915648473424,7.755343599247297,-5.901332479721429,909.1609744417144,399.01220770073854,1607.4618080693624,478.52478091485676,0.13445176,0.8719599,1.0,-1.0,1000.0,0.0,1000,1000,291.0765287695272,110,110000,115,69.2152719750884,39.72952226601774,47.315979364851955,156.2607736059581,1629.3826261271024,10
0.57658255,0.637702,0.11560395,653.6354,2.269679140904091,1.0532013687887238,6.012141588809273,-0.8885875015375876,270.90241746076686,37.66337515105865,376.68109805157354,180.5382231342002,0.26898992,0.6124017,1.0,-0.9999999,119.35714285714286,10.92413542088698,153,83,10,31.966850446872357,1.1020385225544953,1.1799579601591785,6.3028714964100425,-4.448950947009549,1102.038522554495,476.52059274760416,1770.9402887538813,297.77636713556177,0.15200648,0.8687099,1.0,-1.0,1000.0,0.0,1000,1000,270.90241746076686,120,120000,125,74.83091669087298,40.18331908097025,47.09367813996505,162.10791391180828,1791.9766096297535,11
0.66454023,0.6385259,0.085811324,604.5679,2.1874934878227896,1.1908019243290624,5.795240535471559,-0.9990330287449309,163.32740556467917,143.72703320056146,404.7578713854047,-0.5462031629980425,0.2752664,0.6262906,1.0,-1.0,74.66417910447761,56.30586036011967,148,9,10,44.944898084662526,0.9886930185723409,1.2423142732781542,8.554632914970558,-5.233304299494594,988.6930185723406,440.2410394030346,1514.6048552498942,70.4418579221336,0.15961929,0.8744882,1.0,-1.0,1000.0,0.0,1000,1000,163.32740556467917,130,130000,135,70.96090546488995,40.66883166600019,46.74687769898446,158.3766148298746,1949.582822878554,12
0.5981914,0.6334288,0.10967245,719.1466,1.236230749127103,1.40735834785597,7.363132678175182,-4.473101906399754,144.61730938911444,154.6559981603042,1002.7417849035085,3.1252206823278392,0.24195483,0.71516997,1.0,-1.0,116.98245614035088,89.61806376524602,1000,32,10,48.69845399414092,1.213327799015311,1.3638719029613326,7.014953761695812,-5.312287102138786,1213.3277990153108,470.90863479516884,1650.9577077646684,181.67157365592647,0.24762659,0.854334,1.0,-1.0,1000.0,0.0,1000,1000,144.61730938911444,140,140000,145,72.181017194991,39.89822383900173,46.79228745016735,158.87152848416008,2108.9608973637805,13
0.5892222,0.5962387,0.08087767,691.8021,0.3819403639994111,1.1792037748661113,6.063679381527874,-1.1533270318833497,4.240343464024538,35.63048385142176,370.97202658460503,-0.905026706568334,0.21523382,0.6420043,1.0,-1.0,11.102108768035515,14.56416801618643,146,9,10,7.114774652128147,1.1044403056446108,1.211103764346363,6.742633619721642,-7.1518998789932295,1104.4403056446106,492.87224073743175,1739.6896997299207,118.97717835366888,0.09710005,0.88827604,1.0,-1.0,1000.0,0.0,1000,1000,4.240343464024538,150,150000,155,73.99650670698611,40.40888647799147,46.90399073599838,161.30938392097596,2267.7203390976647,14
0.50297976,0.5996789,0.088977724,458.12045,2.1558808017894644,1.1369062241255814,6.544615102365325,-4.64494052858134,271.10201082502516,60.414851044729794,432.8250556600808,66.81723887686519,0.25580662,0.64739585,1.0,-1.0,125.75,21.635329902730856,226,71,10,39.57446056058266,1.138424411850656,1.3821704311886343,6.846033429111052,-8.287806290015233,1138.4244118506558,592.3973151997552,1696.933301717748,-222.7450512786205,0.12483529,0.8822691,1.0,-1.0,1000.0,0.0,1000,1000,271.10201082502516,160,160000,165,76.27922159509035,37.85955535800895,47.06531692208955,161.20409387518885,2431.580478785909,15
0.58502764,0.6072663,0.097481415,536.3224,1.6887742979537324,1.2899112377009152,7.6584803864890505,-4.305241357288733,225.57521222533987,112.61173911815675,524.5290475317951,10.293159124184417,0.2590222,0.7018808,1.0,-1.0,133.57333333333332,61.8980179183649,618,29,10,59.59766970939434,1.468617907425968,1.0721774787264073,6.270076899373929,-3.4954393432493096,1468.6179074259676,162.8224013203831,1655.5092673234144,1093.0025670630198,0.16748011,0.8769114,1.0,-1.0,1000.0,0.0,1000,1000,225.57521222533987,170,170000,175,82.47824146907078,40.523334564990364,46.74582118104445,169.7473972151056,2601.296491274028,16
0.5445144,0.57169306,0.06529188,530.7112,2.130303560394748,1.2300534053004737,6.965866697819635,-2.0154886518155153,176.877071549788,138.31659077917254,499.0204075662394,-0.6364923325627414,0.25742248,0.6578305,1.0,-1.0,83.02904564315352,56.89951821367316,274,9,10,40.20311254838577,1.216624941151732,1.2010748984030817,9.64529990165579,-4.1964387128011715,1216.624941151732,386.343931858619,1753.389224505653,658.949765936708,0.13421273,0.89422584,1.0,-1.0,1000.0,0.0,1000,1000,176.877071549788,180,180000,185,83.10671389492927,40.493834762019105,47.151298380980734,170.7518470379291,2772.367922127014,17
0.15565662,0.5574142,0.06334534,464.8764,1.781360140187365,1.3853268942662753,6.719344958409218,-4.14169940627628,87.21278559507554,134.19500512889897,538.7077695564788,-1.3708224997347767,0.2294993,0.6793845,1.0,-1.0,48.958536585365856,58.14339496749585,285,9,10,41.6297243352113,1.4710860575097693,1.1041935133957022,6.762250935422754,-2.8303336542792863,1471.086057509769,268.5553890251092,1786.559865717562,817.9727500715368,0.15548512,0.8879087,1.0,-1.0,1000.0,0.0,1000,1000,87.21278559507554,190,190000,195,81.17517413699534,40.81537050299812,47.41909308399772,169.40963772399118,2940.8986420030706,18
0.3028997,0.55783004,0.071673825,451.90405,-0.10614783805694729,0.6122387290116604,0.8285992446003626,-1.1588564272675692,-0.9563824580248017,0.16131982072802906,0.3726782150218131,-1.3756371884240943,0.10649517,0.6651603,0.9987881,-0.99994755,9.00990990990991,0.09905404381188775,10,9,10,1.8853201616085447,1.2701672649125404,1.2758980081173672,8.177435265928926,-7.910374930578332,1270.16726491254,535.4893463587377,1858.5089203954296,-126.76608597399104,0.15974489,0.8863213,1.0,-1.0,1000.0,0.0,1000,1000,-0.9563824580248017,200,200000,205,83.34197325806599,39.93921100097941,47.53945389192086,170.82063815096626,3107.3985900140833,19
0.36447522,0.54705954,0.05489608,472.10242,1.883075800949065,1.419772888387939,7.1510746908975555,-2.1139154031268954,81.70434074571439,134.79965976424046,627.5151193120778,-1.1959210132767577,0.23942272,0.66687053,1.0,-1.0,43.388768898488124,54.978888970164505,283,9,10,43.0712795309151,1.2490854161792468,1.098043007383115,8.894004046594889,-4.291848264152517,1249.0854161792472,377.7341722184693,1784.4018807723567,622.9437030412344,0.16957523,0.8824614,1.0,-1.0,1000.0,0.0,1000,1000,81.70434074571439,210,210000,215,86.18027892586542,35.614707340020686,47.66388361109421,169.45886987698032,3279.556204098044,20
0.41005203,0.5063377,0.062812954,455.42297,2.280782103171108,1.1738923419959106,6.409766284864481,-0.9679028090812175,225.2019530835551,115.32348611177224,439.836018422106,0.4452207852266239,0.27968013,0.64726746,1.0,-1.0,98.73891625615764,42.605601204511984,157,10,10,57.55279198437734,1.2948833643038902,1.0770758109893095,6.222296232042338,-3.083110118832435,1294.8833643038906,336.5533089931466,1745.413235119175,650.9303475611273,0.05979134,0.9029934,1.0,-1.0,1000.0,0.0,1000,1000,225.2019530835551,220,220000,225,85.45762356108753,38.54552965698531,48.13507696206216,172.138230180135,3452.0166444282513,21
0.4168004,0.49481523,0.072740495,377.42883,2.1586510380046215,1.1135794263834118,6.7602262634895345,-1.7489205007151787,247.43074955048397,77.2123566432465,542.8610641030584,0.691190614723677,0.25254795,0.67316777,1.0,-1.0,114.62285714285714,26.045137585290938,190,10,10,53.671055889859,1.4397164330899803,1.161442121266205,7.361067431974965,-4.3416461874007295,1439.7164330899802,251.9662403133876,1754.8235707916876,976.3786976467876,0.19858807,0.8756234,1.0,-1.0,1000.0,0.0,1000,1000,247.43074955048397,230,230000,235,89.18357841792749,38.64770879194839,47.9085740170558,175.73986122693168,3627.6291957112844,22
0.5227117,0.5084468,0.12807356,485.32324,2.0440425493373358,1.1706688702054562,8.139201683662487,-2.333090194519898,249.9215926787333,87.14745052619554,497.27384382338147,22.560184567068656,0.21516183,0.7096928,1.0,-1.0,122.26829268292683,32.997061502757724,303,32,10,36.883953604992264,1.3916330688337561,1.189035379160307,7.817357061967263,-4.487627242527724,1391.633068833756,370.4276354511918,1781.7795954507167,719.5418253943938,0.14395629,0.897561,1.0,-1.0,1000.0,0.0,1000,1000,249.9215926787333,240,240000,245,91.96486262988765,38.52404435002245,47.837830301141366,178.32673728105146,3806.273153567221,23
