Inverse-Dynamic-MSE,Valid-InvDyn-MSE,State-Pred-Expt-MSE,State-Pred-Real-MSE,Test Rewards Mean,Test Rewards Std,Test Rewards Max,Test Rewards Min,Test Returns Mean,Test Returns Std,Test Returns Max,Test Returns Min,Test Actions Mean,Test Actions Std,Test Actions Max,Test Actions Min,Test Ep. Len. Mean,Test Ep. Len. Std,Test Ep. Len. Max,Test Ep. Len. Min,Num Paths,Test Pred_Real_MSE,Exploration Rewards Mean,Exploration Rewards Std,Exploration Rewards Max,Exploration Rewards Min,Exploration Returns Mean,Exploration Returns Std,Exploration Returns Max,Exploration Returns Min,Exploration Actions Mean,Exploration Actions Std,Exploration Actions Max,Exploration Actions Min,Exploration Ep. Len. Mean,Exploration Ep. Len. Std,Exploration Ep. Len. Max,Exploration Ep. Len. Min,AverageReturn,Number of train calls total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.23895451,0.19600666,0.25377142,639.32513,1.6855735669519456,0.49530797939876803,2.660879398362154,0.23491484169114468,131.47473822225177,6.526303080225059,164.809151104428,119.43445891615522,-0.035897505,0.46858892,0.98722434,-0.9999909,78.0,2.853082161630063,94,73,10,1.6882491275587803,1.178930725621973,1.1141333614202302,6.470634965766853,-3.187025419230193,1178.9307256219727,278.6673827142575,1495.4173711703402,640.4810951335365,-0.38193223,0.80840915,1.0,-1.0,1000.0,0.0,1000,1000,131.47473822225177,10,10000,15,82.9490479324013,0,91.77796922600828,174.72701715840958,242.03927631047554,0
0.15368122,0.17622752,0.16896841,1572.5735,2.631665850187137,0.9400883743842512,5.590890247432341,1.0019796288482727,313.32488294906614,57.350446074058,735.172095050093,232.24902266876623,0.04308432,0.44538277,0.99673784,-0.99948096,119.05952380952381,15.992819214882324,234,102,10,2.0146616259241177,1.2045211752069531,0.9912173105055766,6.760436952283771,-3.346927360287813,1204.521175206953,242.33498096839446,1743.7646492437188,905.6145960185081,0.03362093,0.8430335,1.0,-1.0,1000.0,0.0,1000,1000,313.32488294906614,20,20000,25,93.57710529281758,67.35567278508097,92.37977056042291,253.31254863832146,495.5436954665929,1
0.05603771,0.18094248,0.10573033,1077.7013,2.978096603287145,0.9350852933397774,5.6219212236823175,0.9992768135816733,532.1220466516281,96.54324480013952,694.9650537612163,393.9440445869145,0.03799602,0.59018785,0.99932766,-0.99993825,178.67857142857142,25.43381266209634,219,143,10,1.026813905837613,1.1424255585091507,1.07609600225329,5.616596450583581,-1.495505689801203,1142.4255585091505,334.5706561365564,1376.2013027188532,228.64886830142555,0.20409831,0.8274342,1.0,-1.0,1000.0,0.0,1000,1000,532.1220466516281,30,30000,35,103.33068375498988,67.5479433578439,90.46168653178029,261.34031364461407,757.6972644890193,2
0.07301092,0.161284,0.07160788,402.43307,2.8879484590195874,0.9104177728343101,5.231560502903172,1.0041292092450587,485.4641359611926,77.07365496931418,654.46695670368,357.95896113074275,0.050362363,0.6149747,0.99971247,-0.9998614,168.1,18.74539943559486,212,133,10,0.7425273760883881,1.4589522061912488,1.1554983095197797,5.62794022647146,-1.1991679664162476,1458.9522061912503,276.4983203803429,2040.1810413304459,1004.1109614977897,0.071151115,0.8705322,1.0,-1.0,1000.0,0.0,1000,1000,485.4641359611926,40,40000,45,100.70011059008539,68.36151330196299,94.57964440109208,263.64126829314046,1024.0523557688575,3
0.14191772,0.15053475,0.07191427,1319.6365,2.739095602206038,0.8515765728779188,6.061368295527553,0.9981372973046273,414.34484526904725,63.25539105811294,659.4441582832013,281.9866639935388,0.020503752,0.5850612,0.9999675,-0.9999987,151.27067669172934,17.149991919833635,207,113,10,0.6693483719343117,1.278653519842678,1.1524591166894491,5.296368489074683,-1.6283680124003053,1278.653519842678,270.4059722216286,1759.5196991638045,872.1476460413572,-0.07596499,0.88004476,1.0,-1.0,1000.0,0.0,1000,1000,414.34484526904725,50,50000,55,116.53339241468348,71.08339472883381,93.52443151827902,281.1412186617963,1308.3730108933523,4
0.079423845,0.13967146,0.04234578,291.57632,2.885546316740868,0.9367531317899271,7.144239276938744,1.0020623831732323,475.2400175596252,121.51006056233047,710.8953471840931,158.83827255750262,0.012235959,0.6293114,0.99998677,-0.99999946,164.69672131147541,31.476998977984504,220,76,10,0.8984511695368608,1.2210537646486754,1.1058006885105602,6.039955401040717,-2.1406613110688206,1221.0537646486748,132.57375113511597,1407.9687712707957,958.7829719265851,-0.06971775,0.8800288,1.0,-1.0,1000.0,0.0,1000,1000,475.2400175596252,60,60000,65,111.95277174096555,74.25301243085414,93.96711473027244,280.17289890209213,1584.6914662332274,5
0.08930046,0.15274541,0.031301044,347.81274,3.0479861149365135,1.0084109812903557,7.04492674437957,1.003739460687078,560.9972242005167,96.42223023522851,681.6571768564988,374.22535892597836,-0.0022191238,0.6436638,0.99998325,-0.99999964,184.05504587155963,21.74448569236391,209,140,10,1.055638353390459,1.2452177290379542,1.0784627150014376,5.484213032699223,-2.136648876809546,1245.2177290379548,160.50945345828228,1513.8474414206,968.3027181431471,-0.14467038,0.87663954,1.0,-1.0,1000.0,0.0,1000,1000,560.9972242005167,70,70000,75,94.60725699621253,70.39764295588247,93.9653082524892,258.9702082045842,1845.6161626901012,6
0.15420194,0.13057008,0.023254491,541.9023,2.9509717384206007,0.8110638637268505,6.096509255991606,1.0029563333848581,654.4023041904146,213.3956911693646,1241.1673961580111,362.74842008933945,-0.015494005,0.623374,0.9999997,-0.999999,221.75824175824175,59.25533140743784,363,143,10,0.6493392463398271,1.2387038834971003,1.0586110096324615,6.755847096878223,-2.1702943466814903,1238.7038834971002,123.09815890920538,1465.5546962114615,1022.6518260556084,-0.156689,0.8958725,1.0,-1.0,1000.0,0.0,1000,1000,654.4023041904146,80,80000,85,110.80186494113877,72.32859802315943,93.38129622745328,276.5117591917515,2119.894773095846,7
0.13113108,0.12349491,0.02274664,401.85986,2.9636364102310004,0.87984957350365,6.592401744827926,1.0021222639667329,599.4328836208641,159.7779703867143,1150.671053679825,193.34793947728215,-0.0035800373,0.6558138,0.9999998,-1.0,202.26262626262627,41.84545541103944,376,108,10,0.8864197913150164,1.28945970027962,1.104347925995142,5.767821414903156,-2.024114089937375,1289.459700279624,274.87657210225944,1713.9863672232677,555.5569217744369,-0.2711817,0.8693883,1.0,-1.0,1000.0,0.0,1000,1000,599.4328836208641,90,90000,95,127.78261833079159,70.13698574504815,95.14177482412197,293.0613788999617,2412.560013585491,8
0.058762625,0.11954597,0.025838632,514.8562,2.2579157878112612,0.9200738029965733,6.509398474496806,-0.22584633425060438,289.5632259676416,240.07362574634644,1139.0030650381361,117.2947788468641,0.014005046,0.6274361,1.0,-1.0,128.24358974358975,64.8643922501825,353,78,10,1.0733045491764714,1.3464580491866198,0.9811737489862876,5.242951986504765,-1.5686837949612409,1346.458049186624,112.51220402916347,1555.1399032304182,1098.0783478476908,-0.26464283,0.88516015,1.0,-1.0,1000.0,0.0,1000,1000,289.5632259676416,100,100000,105,139.07499082083814,69.74402267998084,92.5516260350123,301.3706395358313,2715.8294388270006,9
0.05777723,0.10516207,0.019631486,271.86224,2.6001100635928145,1.054466759684101,5.968841346853336,-0.23378204938344038,522.4401150777044,298.45660424788133,1664.363951009971,96.80202201712635,0.054433294,0.6234925,1.0,-1.0,200.93,81.47002577635531,498,78,10,1.5175335661744336,1.4528415347498866,1.0844152967050664,5.877569431111292,-1.7247590840815614,1452.8415347498876,113.51129076477837,1655.7933050066158,1277.1275152868923,-0.12213637,0.89379793,1.0,-1.0,1000.0,0.0,1000,1000,522.4401150777044,110,110000,115,181.67763477773406,71.62874021707103,91.72853703983128,345.03491203463636,3062.0002673042472,10
0.079148,0.09554476,0.015122289,181.77823,2.9096029767274754,0.8798677362139705,5.909742506444537,0.4027732166530721,527.1623915762725,116.25281277743879,849.3020435891094,132.8740974181034,0.020744637,0.64696556,1.0,-1.0,181.18018018018017,30.792007327922782,264,81,10,0.7297471807934636,1.4075286260523892,1.1038479124651746,5.8994878862655495,-1.52758631234093,1407.5286260523917,154.98780890782442,1705.4486071896408,1241.2801231250114,-0.19948725,0.89560485,1.0,-1.0,1000.0,0.0,1000,1000,527.1623915762725,120,120000,125,105.21277073258534,72.76820900314488,91.56308633531444,269.54406607104465,3333.3292909003794,11
