Disc CE Loss,Disc Acc,Grad Pen,Grad Pen W,Disc Rew Mean,Disc Rew Std,Disc Rew Max,Disc Rew Min,Reward Scale,QF1 Loss,QF2 Loss,Alpha Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q1 Predictions Min,Q2 Predictions Mean,Q2 Predictions Std,Q2 Predictions Max,Q2 Predictions Min,Alpha Mean,Alpha Std,Alpha Max,Alpha Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Test Rewards Mean,Test Rewards Std,Test Rewards Max,Test Rewards Min,Test Returns Mean,Test Returns Std,Test Returns Max,Test Returns Min,Test Actions Mean,Test Actions Std,Test Actions Max,Test Actions Min,Test Ep. Len. Mean,Test Ep. Len. Std,Test Ep. Len. Max,Test Ep. Len. Min,Num Paths,Exploration Rewards Mean,Exploration Rewards Std,Exploration Rewards Max,Exploration Rewards Min,Exploration Returns Mean,Exploration Returns Std,Exploration Returns Max,Exploration Returns Min,Exploration Actions Mean,Exploration Actions Std,Exploration Actions Max,Exploration Actions Min,Exploration Ep. Len. Mean,Exploration Ep. Len. Std,Exploration Ep. Len. Max,Exploration Ep. Len. Min,AverageReturn,Number of train calls total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.6447234,0.64453125,0.7582137,0.5,-4.8840113,1.8450931,-2.1727633,-8.594791,2.0,1.8405806,1.8015076,-8.6753235,0.16215484,0.00048636209,0.006945234,0.017540598,-0.0136399185,-0.01987046,0.016114172,-0.0058134506,-0.057170156,0.19994000899921135,0.0,0.19994000899921135,0.19994000899921135,0.60971856,0.58985275,2.4482236,-2.9889183,-0.00063833105,0.0022725859,0.0043856762,-0.00654562,0.00017430175,0.0016956535,0.0064185085,-0.0060524936,-0.2387050194369393,0.04196017285208226,0.6671582154750944,-0.8186608450233746,-238.70501943693935,1.2106946576916786,-236.7287974382072,-241.2742040512935,-0.09725125,0.62693363,0.8732732,-0.9395579,1000.0,0.0,1000,1000,10,-0.1409984275320226,0.7216062764026575,2.922005477723141,-2.7353816471151324,-140.99842753202273,260.8327088703613,380.1305927827196,-454.65834483019563,-0.05481403,0.64010864,0.9987212,-0.99947935,1000.0,0.0,1000,1000,-238.70501943693935,6,10000,10,90.22861036384711,0,8.289411412959453,98.51802177680656,110.72085349680856,0
0.028071504,0.9941406,0.0051592845,0.5,-4.7862773,1.7580838,-2.013052,-9.48378,2.0,12.054947,10.802784,-0.20109689,209.14516,-208.13684,77.11898,-149.26756,-392.16562,-208.69214,77.311195,-148.54012,-395.37253,0.10490293882158147,0.0,0.10490293882158147,0.10490293882158147,5.9108105,3.1299825,14.890063,-3.8311286,-0.09145993,1.0160886,2.7816315,-3.1504524,-0.70609254,0.24653523,-0.24477047,-1.6172826,2.540168918073826,0.7994960147544239,4.897176002401816,-1.114682422453842,2540.168918073826,108.3245345152904,2807.3448985991463,2290.595248076864,-0.090467244,0.552086,0.9989969,-0.9997685,1000.0,0.0,1000,1000,10,0.7685271148889848,0.9766066215886049,4.024231455497062,-1.9603415758455436,768.5271148889849,670.0583635912747,1861.7107832581619,-34.5679885037445,-0.0011566824,0.5967647,0.99907935,-0.9995337,1000.0,0.0,1000,1000,2540.168918073826,16,20000,20,149.350053292932,12.208873246971052,8.051736478984822,169.61066301888786,280.3785640797578,1
0.026431084,0.9941406,0.015380727,0.5,-3.6729383,0.8778023,-2.060648,-7.5733514,2.0,13.667858,14.941885,0.030070327,409.76175,-407.87045,116.18244,-314.52606,-887.12866,-407.1986,115.85678,-312.05356,-892.1567,0.17321203908357655,0.0,0.17321203908357655,0.17321203908357655,6.017151,3.3145278,17.243984,-1.9678631,-0.15460128,0.93668616,3.5862324,-3.3566947,-0.830712,0.27463996,-0.32133526,-1.77482,3.737017574848631,0.6875673462212593,5.2519083099050246,-0.9596282734403507,3737.0175748486304,74.22390541721245,3907.313799411743,3586.1237398593044,-0.06796311,0.5395089,0.98107606,-0.98535866,1000.0,0.0,1000,1000,10,2.433087790768494,0.8562438115404558,5.376399274826872,-1.0902273581760207,2433.0877907684944,325.78826219840437,2968.2876976932343,1933.728440065188,-0.062673084,0.5867087,0.9996218,-0.99927986,1000.0,0.0,1000,1000,3737.0175748486304,26,30000,30,152.85886207199655,12.255882955039851,8.203419792931527,173.31816481996793,453.88430360070197,2
0.03422752,0.9980469,0.01428317,0.5,-3.3502789,0.60610586,-1.7255355,-6.6590033,2.0,7.2444954,7.501375,-0.46466345,495.39218,-495.04187,37.18238,-440.06085,-663.1871,-495.67017,37.304348,-441.18588,-665.3343,0.245299999051739,0.0,0.245299999051739,0.245299999051739,5.6692533,2.3122249,12.8321905,-1.769924,-0.08148564,0.7625321,2.2161314,-2.6583567,-1.0256773,0.3061759,-0.46553797,-1.9365155,5.032909154726192,0.7657293887460687,6.247898760294783,-1.2157003093438965,5032.909154726192,25.349803507229417,5087.079050307965,4987.965133320845,-0.09212413,0.5306526,0.96180767,-0.97123134,1000.0,0.0,1000,1000,10,3.4751354337114457,0.8158694265778748,5.476026622913122,-1.0573961756825436,3475.1354337114462,347.1634623546455,3860.910378924976,2881.7745405286646,-0.042003423,0.57304925,0.9979568,-0.99845904,1000.0,0.0,1000,1000,5032.909154726192,36,40000,40,151.3806361311581,12.443459153000731,8.261187937052455,172.08528322121128,625.9292540437891,3
0.04601185,0.9921875,0.016401418,0.5,-3.4737115,0.60558724,-1.8479749,-6.81166,2.0,10.626019,6.8848677,0.15112716,592.8077,-595.92615,25.543015,-557.1056,-699.63367,-594.1787,25.445381,-554.4475,-700.3912,0.3798538225505551,0.0,0.3798538225505551,0.3798538225505551,6.156107,2.142802,11.023252,-0.34261817,-0.08788556,0.76208127,2.3639045,-1.9263601,-1.0913693,0.30771014,-0.41376555,-2.082408,5.243881837108545,0.7941511014248848,6.762051314320206,-0.9560897371854942,5243.8818371085445,27.462655299015516,5297.110654164424,5191.17727839776,-0.055474535,0.5329158,0.9689611,-0.9510247,1000.0,0.0,1000,1000,10,3.9323013626018533,1.2270143893315455,6.093307905996744,-1.1693646486272882,3932.3013626018555,633.1101682960043,4355.897350074125,2073.264090552218,-0.048882194,0.57208574,0.9964437,-0.99653655,1000.0,0.0,1000,1000,5243.8818371085445,46,50000,50,153.46429632190848,12.403885294042993,8.132677217945457,174.00085883389693,799.9551975937211,4
0.048460193,0.98828125,0.019344045,0.5,-3.2720144,0.8356431,-2.0620463,-7.1788363,2.0,6.735774,6.0365434,-0.030702475,705.3643,-700.2134,37.72002,-670.11615,-899.4804,-700.1021,37.94536,-670.2027,-904.0967,0.42923961031101593,0.0,0.42923961031101593,0.42923961031101593,5.963695,2.0453959,11.632985,0.06826544,-0.019642489,0.73911726,1.8976654,-2.019805,-1.1138307,0.30831757,-0.41783112,-2.1797462,5.751796556957352,0.8631609150703932,7.355850425965485,-0.8303177541316383,5751.796556957353,29.238312106306115,5818.389149180885,5699.65919559062,-0.059741292,0.54023546,0.96800464,-0.95977694,1000.0,0.0,1000,1000,10,4.528510289356079,0.8613560470390854,6.432135628502374,-0.9341400174816588,4528.510289356078,115.77044913886266,4757.145277680205,4362.362351211004,-0.048463326,0.56667477,0.9983717,-0.99878484,1000.0,0.0,1000,1000,5751.796556957353,56,60000,60,150.13024475093698,12.430852673016489,8.21354500693269,170.77464243088616,970.2524178706808,5
0.043233536,1.0,0.027338741,0.5,-3.2496042,0.44828263,-2.0392315,-6.9639735,2.0,10.21789,9.130623,0.11163563,785.4129,-788.25555,40.8268,-763.4332,-1053.8221,-787.8518,41.30461,-761.2292,-1055.6394,0.43943485142820027,0.0,0.43943485142820027,0.43943485142820027,6.135724,2.1714964,11.703831,-2.3174286,-0.040819403,0.764273,2.0318851,-1.9467831,-1.1143128,0.32434857,-0.37207404,-2.3183005,6.07417936600727,0.9691175348192772,7.477711844666601,-0.9911967369862735,6074.179366007269,40.699527157439185,6136.778537903034,5956.685417991921,-0.048415467,0.5573684,0.99255973,-0.9742079,1000.0,0.0,1000,1000,10,4.748004841276854,1.0932510061258227,6.93124431757326,-1.175989991088626,4748.004841276854,268.878884288848,5147.515270230105,4059.185432333952,-0.04476824,0.57384706,0.99785155,-0.9986259,1000.0,0.0,1000,1000,6074.179366007269,66,70000,70,151.87247573997593,11.950929876009468,8.16679547802778,171.99020109401317,1142.8112487326143,6
0.049648702,0.9941406,0.028928872,0.5,-3.3396864,1.0220351,-2.115178,-8.73397,2.0,3.4054673,3.9699285,-0.31480122,834.18256,-831.76324,9.061807,-816.4645,-875.41675,-833.33044,9.318259,-820.3627,-880.11426,0.40750744217268586,0.0,0.40750744217268586,0.40750744217268586,5.6491156,2.3158805,13.122084,-2.6376185,-0.042160284,0.7107082,1.7731338,-2.0657308,-1.09082,0.33704147,-0.3964734,-2.0776742,6.2595649040424215,1.0600534257904017,7.82444667261816,-1.0910590582752566,6259.564904042423,38.653276454528076,6358.62342992634,6190.391285994972,-0.06049345,0.55535716,0.9637354,-0.9816782,1000.0,0.0,1000,1000,10,4.402174142732149,1.576516698454722,7.001028311466348,-1.225781320385574,4402.174142732149,895.5705661820747,4924.877122103833,1759.4297395967485,-0.017449027,0.608162,1.0,-1.0,1000.0,0.0,1000,1000,6259.564904042423,76,80000,80,152.24024560995167,12.519152237975504,8.118995816796087,172.87839366472326,1315.5823662583134,7
0.049668115,1.0,0.025376614,0.5,-3.3649957,1.1005987,-2.2500157,-8.604477,2.0,2.5905578,4.048686,-0.051456235,877.93134,-873.99786,124.24115,-837.54944,-1532.3257,-876.0987,125.38465,-837.98126,-1539.7435,0.37338540518132635,0.0,0.37338540518132635,0.37338540518132635,5.9477625,2.7239077,17.239243,-3.8677018,-0.048706163,0.8098625,3.200212,-3.3828135,-1.0199419,0.32793102,-0.37876788,-2.0554478,6.223828156740646,1.1608421054096822,7.953566825044277,-1.1470026657822714,6223.828156740647,147.0669160099359,6374.028609738776,5774.574505831347,-0.056292992,0.5577075,0.9886241,-0.9969688,1000.0,0.0,1000,1000,10,4.41285279982305,1.540597488594408,7.023879566106291,-1.2040275838711978,4412.852799823051,808.1996148523106,5036.573546575597,2147.356602163576,-0.025996925,0.58109236,0.9998116,-0.9981697,1000.0,0.0,1000,1000,6223.828156740647,86,90000,90,150.03137813491048,12.412295535032172,8.181985278963111,170.62565894890577,1486.3346987881814,8
0.04572271,0.9980469,0.022855084,0.5,-3.1559703,0.59945023,-1.1231705,-6.5029716,2.0,3.0675628,2.9515483,-0.056472935,875.5381,-871.6465,88.627365,-842.235,-1551.832,-872.1327,88.8047,-843.25836,-1553.9319,0.3520604947226169,0.0,0.3520604947226169,0.3520604947226169,5.945902,2.640731,16.148628,-2.7352166,-0.003263816,0.8153361,2.3536394,-2.404471,-1.0281333,0.3352702,-0.3475542,-2.2337604,4.13781185100087,3.236300322347117,8.245155487168926,-1.2447640929952373,4137.81185100087,3111.412589755527,6514.149878009858,-123.15916750321361,-0.11327013,0.51783913,0.9955246,-0.9875952,1000.0,0.0,1000,1000,10,4.736102537055136,1.2508173073213626,7.275020768510876,-0.9230302406096947,4736.102537055135,425.72278194717217,5201.823869211432,3585.612055875614,-0.05003722,0.584412,0.9987025,-0.99929154,1000.0,0.0,1000,1000,4137.81185100087,96,100000,100,151.43651221500477,12.54727045603795,8.18064973311266,172.16443240415538,1658.2910590223619,9
