Inverse-Dynamic-MSE,Test Rewards Mean,Test Rewards Std,Test Rewards Max,Test Rewards Min,Test Returns Mean,Test Returns Std,Test Returns Max,Test Returns Min,Test Actions Mean,Test Actions Std,Test Actions Max,Test Actions Min,Test Ep. Len. Mean,Test Ep. Len. Std,Test Ep. Len. Max,Test Ep. Len. Min,Num Paths,Exploration Rewards Mean,Exploration Rewards Std,Exploration Rewards Max,Exploration Rewards Min,Exploration Returns Mean,Exploration Returns Std,Exploration Returns Max,Exploration Returns Min,Exploration Actions Mean,Exploration Actions Std,Exploration Actions Max,Exploration Actions Min,Exploration Ep. Len. Mean,Exploration Ep. Len. Std,Exploration Ep. Len. Max,Exploration Ep. Len. Min,AverageReturn,Number of train calls total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
1.1940016,-0.09970524380431697,0.4207689788202079,0.6513492009667841,-0.708983263477414,-0.9081531359626357,0.3140777046642507,0.1312871961392168,-1.1983489225018502,0.041192878,0.39583656,0.63081336,-0.8462736,9.108378870673953,0.31085831348926685,10,9,10,1.062499439065278,0.700008431776626,5.521965755415655,-5.268195161812911,1062.4994390652778,200.9766590071289,1313.925026514057,723.9007963155503,0.13525365,0.444092,0.9986585,-0.9989929,1000.0,0.0,1000,1000,-0.9081531359626357,10,10000,60,196.7836920407135,0,20.719880545744672,217.50357258645818,241.5776593645569,0
0.9386469,-0.0926048094799025,0.5188598037291531,0.7921908817749909,-0.9091921378655847,-0.8581064467137238,0.5588529352065252,0.3451106756876545,-1.4821345381866013,0.08629101,0.43213046,0.78906435,-0.8504107,9.266327003242242,0.44203725022473916,10,9,10,1.2336129305405157,0.6919464889228941,4.6429759293927715,-0.995645837496169,1233.612930540518,32.65572703382224,1307.0973005777255,1175.9778937466492,0.049286827,0.7869993,0.9999993,-0.99999964,1000.0,0.0,1000,1000,-0.8581064467137238,20,20000,70,197.92734854877926,24.111615845933557,21.71286131371744,243.75182570843026,486.071926770499,1
0.8113877,-0.1921595734312143,0.5394898646678892,0.6429659347406078,-1.0828446945133423,-1.7294361608809283,0.1333865335315485,-1.232208822536325,-2.057833980517478,0.029154196,0.44931483,0.7955357,-0.8900658,9.0,0.0,9,9,10,0.9123663671820695,1.0300369496908899,5.656241539553775,-4.092772056692327,912.3663671820747,409.2991163225163,1249.8157122590283,-38.71319142064593,0.08706257,0.8276516,1.0,-1.0,1000.0,0.0,1000,1000,-1.7294361608809283,30,30000,80,197.54632894182578,24.826554657891393,21.370244015706703,243.74312761542387,731.5530816183891,2
0.71918803,-0.1873310763247418,0.5847935749268457,0.6562468331866916,-1.1920410722438972,-1.6859796869226762,0.07270920976238915,-1.4304051863447769,-1.9266410062171846,0.015161735,0.46334824,0.87546283,-0.902771,9.0,0.0,9,9,10,1.0944463685733143,0.8345036436091903,4.695668144836985,-5.02127137189031,1094.446368573317,258.80883954482266,1281.1563578955383,491.1624646246471,-0.04371473,0.83922905,1.0,-1.0,1000.0,0.0,1000,1000,-1.6859796869226762,40,40000,90,197.6589788950514,26.594860557001084,22.23434531595558,246.48818476800807,978.4628579963464,3
0.6035361,-0.1615240607460915,0.5658422469870568,0.888880002424514,-1.1203467520091495,-1.4795278549567585,0.38854769285524493,-0.17895031663185546,-1.8818962022922523,0.029696647,0.5172724,0.99768364,-0.95198435,9.159798534798535,0.3664191085011483,10,9,10,1.0914150577709854,0.9023078794344365,6.026059870680049,-5.792737163695133,1091.4150577709884,262.6921300214637,1262.5482399545674,412.88454179385155,0.015219129,0.877348,1.0,-1.0,1000.0,0.0,1000,1000,-1.4795278549567585,50,50000,100,195.72244931245223,27.01671961392276,21.031513661844656,243.77068258821964,1224.1041159047745,4
0.507675,0.4139373272971207,1.2851749716342282,4.552061411059934,-3.4774032934518715,10.197539772477342,33.405009006031406,367.846336534382,-2.201231682414347,0.12272142,0.60202307,1.0,-0.99999994,24.635467980295566,29.1010236840699,218,9,10,1.1058320468757852,0.6928215869130331,4.929622988457177,-2.8574692663665995,1105.8320468757822,187.24652290669133,1237.2844339798341,651.7685609005848,0.0727064,0.9029266,1.0,-1.0,1000.0,0.0,1000,1000,10.197539772477342,60,60000,110,195.81871704617515,28.904124843887985,21.643024587072432,246.36586647713557,1468.1180678331293,5
0.53075594,1.1892685208749694,1.303598894412113,5.116434993298213,-4.770408874249013,159.4967655629451,131.30802240580383,510.4109422175904,-23.23342570711663,0.20045245,0.5609839,1.0,-1.0,134.11333333333334,53.579042752014736,367,28,10,0.9705776429407553,0.786985012467372,5.30030267519321,-4.960005887475151,970.5776429407513,239.10376540180062,1272.3549376763451,593.8003092050698,0.20156862,0.8205629,1.0,-1.0,1000.0,0.0,1000,1000,159.4967655629451,70,70000,120,193.59713791008107,26.548226098995656,20.90715638617985,241.05252039525658,1708.5910838134587,6
0.45963657,0.6323495676921699,1.413242320451999,6.502438832459284,-4.559740510429489,32.20799312085029,54.40356257464115,420.0058530230498,-8.829143344969369,0.1724539,0.6482626,1.0,-1.0,50.93384223918575,40.544207641510404,274,28,10,0.8523840034183466,1.0747448545187894,5.276036433174192,-4.079843122017543,852.3840034183452,261.34006113812706,1269.7858344547658,346.7913238793428,0.2618677,0.7956587,1.0,-1.0,1000.0,0.0,1000,1000,32.20799312085029,80,80000,130,195.40593841276132,25.982975224032998,21.819668381940573,243.2085820187349,1954.2509218687192,7
0.45212665,0.8003607176547928,1.324377134957999,5.875989488495114,-4.746653009096356,50.13509557934476,82.2828089754408,408.68377412644026,1.1633391208312354,0.20950408,0.6530118,1.0,-1.0,62.640625,44.51346958628787,245,27,10,0.9132611894016863,0.9186647774016683,5.402229456583342,-4.624432860579023,913.2611894016834,213.77792316696483,1257.411224803247,644.7055776945166,0.21672179,0.8271186,1.0,-1.0,1000.0,0.0,1000,1000,50.13509557934476,90,90000,140,195.68151826993562,28.42220735317096,21.70267111528665,245.80639673839323,2199.983684150502,8
0.36549795,1.6571482442903738,1.2371764850162428,5.7894953002185785,-4.368446427817743,223.48145517295822,115.28446108226305,490.1830732236075,29.55634927360466,0.19248073,0.5317641,1.0,-1.0,134.85906040268458,45.653203998829774,372,51,10,1.0231228760886797,1.1062192215712325,5.106164902217881,-5.037107174888931,1023.1228760886772,287.02499757534554,1324.8893246259365,585.8825934129674,0.21288805,0.8239946,1.0,-1.0,1000.0,0.0,1000,1000,223.48145517295822,100,100000,150,194.18191275303252,28.3591249238234,20.677034797612578,243.2180724744685,2445.2645425267983,9
0.3920299,1.5852861062505301,1.2635007439064692,6.167979917244472,-5.415734194427157,216.59106229888195,124.01435126392292,416.32310952193876,-16.725180990662842,0.19366205,0.5470028,1.0,-1.0,136.62585034013605,59.3536857493452,504,28,10,0.9407277301791516,1.1552312761459265,5.512636121347933,-3.807362648139747,940.7277301791543,385.6628651433983,1294.8322272785351,56.556703096743995,0.18931115,0.8273882,1.0,-1.0,1000.0,0.0,1000,1000,216.59106229888195,110,110000,160,195.32018005335703,30.392492518993095,21.78455404471606,247.4972266170662,2693.665248479694,10
0.38690722,1.7376764471423303,1.3754704769456838,6.443794853127949,-6.060946128858916,248.76079538304703,120.43627270625245,542.9479941290217,-7.470102334721776,0.20237371,0.5637074,1.0,-0.99999994,143.15714285714284,53.65927844525405,507,42,10,1.0622199788134166,1.2073553689294725,6.873877209700622,-3.903579863481977,1062.219978813417,412.52602240964274,1327.4050874373165,-125.48094433772313,0.20356461,0.8439413,1.0,-1.0,1000.0,0.0,1000,1000,248.76079538304703,120,120000,170,195.57042423752137,31.323427880881354,20.71595799829811,247.60981011670083,2940.28331965534,11
0.37775618,1.755785398430113,1.1846338596169106,5.647224734732766,-3.8644339278408584,276.1246880499857,113.09761598052312,517.8913907299531,21.405551712382426,0.18359508,0.51326615,1.0,-1.0,157.265625,42.00343817307549,361,66,10,1.0372903600519174,1.42553781452371,8.831669949059107,-4.698631560865273,1037.2903600519167,346.9448609671469,1312.4153107365553,53.98420881177673,0.23082954,0.8100703,1.0,-1.0,1000.0,0.0,1000,1000,276.1246880499857,130,130000,180,198.7155436403118,30.325132675934583,21.794220666168258,250.83489698241465,3195.4461016836576,12
0.28250837,1.5211505380064156,1.2251543854273361,5.378708202376109,-2.6484353997975076,223.82164276504693,135.1545032925448,570.556331468,11.26853086840791,0.19754927,0.55540603,1.0,-1.0,147.13970588235293,82.5370837148296,689,25,10,1.0990599155504928,1.2395858339945798,7.662257492335521,-3.9372488277761293,1099.0599155504935,223.11692322040915,1364.2676877424572,779.9073122977846,0.18445234,0.8151663,1.0,-1.0,1000.0,0.0,1000,1000,223.82164276504693,140,140000,190,202.96847151615657,34.65106845390983,22.520263980841264,260.13980395090766,3453.4013337434735,13
0.34605205,1.3515282627318728,1.3563026791054509,6.059562149465726,-3.947969571430427,178.36616414737742,149.7118850254054,519.990053637151,-4.618994306729375,0.21643192,0.5963735,1.0,-1.0,131.97368421052633,84.65168162662846,531,10,10,0.9240620399595988,1.3336830815684824,8.110380878456947,-5.354725160527054,924.0620399595986,372.70052277587354,1270.3655713863097,160.8442968151363,0.18724522,0.81111,1.0,-1.0,1000.0,0.0,1000,1000,178.36616414737742,150,150000,200,205.41341353417374,32.49656000197865,23.927916154265404,261.8378896904178,3715.6615395122208,14
