MSE,Inverse-Dynamic-MSE,Test Rewards Mean,Test Rewards Std,Test Rewards Max,Test Rewards Min,Test Returns Mean,Test Returns Std,Test Returns Max,Test Returns Min,Test Actions Mean,Test Actions Std,Test Actions Max,Test Actions Min,Test Ep. Len. Mean,Test Ep. Len. Std,Test Ep. Len. Max,Test Ep. Len. Min,Num Paths,Exploration Rewards Mean,Exploration Rewards Std,Exploration Rewards Max,Exploration Rewards Min,Exploration Returns Mean,Exploration Returns Std,Exploration Returns Max,Exploration Returns Min,Exploration Actions Mean,Exploration Actions Std,Exploration Actions Max,Exploration Actions Min,Exploration Ep. Len. Mean,Exploration Ep. Len. Std,Exploration Ep. Len. Max,Exploration Ep. Len. Min,AverageReturn,Number of train calls total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
6.4828506,0.48899478,0.5252467611404165,0.9379248417851024,7.235863432113035,-1.6310585183765935,500.56016336681733,395.69894968767665,1095.8302495244432,-787.0571781913001,0.0037448509,0.4006977,0.99707997,-0.9872545,953.0,210.19038988498022,1000,13,10,0.2602792671377927,1.2684897805380873,6.7002195149685875,-4.1392165799812215,260.27926713779294,838.062043341837,1460.0722363599239,-610.1741606098527,0.015821574,0.47591728,0.99970734,-0.99942946,1000.0,0.0,1000,1000,500.56016336681733,6,10000,10,94.76886905520223,0,18.691742970142514,113.46061202534474,141.2329185223207,0
6.4828506,0.13611671,-0.4940198710745379,1.33885922231542,7.3354789764486625,-2.730841461746502,-432.0525959419291,536.571605665308,804.1204120936267,-1473.4621706502319,0.11071402,0.64735115,0.9999998,-0.9999773,874.5652173913044,323.9413293748216,1000,12,10,0.1936136956352417,1.4261658217571274,7.061205143003463,-2.2745377530969773,193.6136956352401,699.4615675293562,1022.5678072564755,-1129.6935003230467,0.01679885,0.5267379,0.9999997,-0.9999566,1000.0,0.0,1000,1000,-432.0525959419291,16,20000,20,157.82492159190588,27.778180789900944,18.51932635018602,204.12242873199284,345.16749974223785,1
6.4828506,0.08171485,0.4305348536009037,0.8549765192867145,5.93478638013622,-3.3875160717411115,430.53485360090343,630.2928163071001,1014.5838032977342,-1298.9334775842249,0.062483434,0.3925678,1.0,-0.99999905,1000.0,0.0,1000,1000,10,-0.1055273990020507,1.0826321106091903,6.926618152228272,-2.818745810179365,-105.52739900205329,646.0790213345092,832.5966860909521,-1418.5107183244468,0.09612429,0.5441845,1.0,-0.99999994,1000.0,0.0,1000,1000,430.53485360090343,26,30000,30,155.389769022353,27.625805896008387,18.185220218496397,201.20079513685778,544.8278623691294,2
6.4828506,0.05030226,0.6238697863616041,0.9514381272515112,7.256147395148524,-2.728469110701813,501.49148906891196,666.2753263859798,1189.2719415469917,-2247.517661517697,-0.011279722,0.3528722,1.0,-1.0,803.84,392.3437961788105,1000,12,10,0.6647461143274872,0.6519605076350907,6.655632351422156,-1.7591229205370809,664.746114327487,408.53331903235363,983.4822951889585,-454.4533050402836,0.0008005482,0.3213562,0.9966649,-0.9868289,1000.0,0.0,1000,1000,501.49148906891196,36,40000,40,153.91911053680815,26.08177428599447,18.33899407973513,198.33987890253775,742.4582570898347,3
6.4828506,0.028618911,0.3783719295439616,1.017631400537296,6.855764772207066,-2.9231170446751777,282.08328036260815,787.3749064936458,976.9622322217656,-2349.914783027967,-0.014374284,0.41513073,0.9999985,-0.9997524,745.5185185185185,430.1676994580887,1000,12,10,0.8289255803478425,0.7319233287064733,7.2703154167910995,-1.3877804774694007,828.9255803478425,217.61210324512876,1266.9917884650808,415.9730138846572,-0.03102641,0.27559647,0.99273515,-0.9745563,1000.0,0.0,1000,1000,282.08328036260815,46,50000,50,146.83112487825565,25.35295362607576,17.5313150358852,189.7153935402166,933.0583338369615,4
6.4828506,0.026488468,0.6396487355731784,0.8284763974500593,7.1134190578500185,-1.4966269791743176,513.9961379571834,409.79430650881415,1448.829430125479,-354.1169546229222,-0.07665711,0.3481455,0.988794,-0.9799804,803.56,392.90885253452865,1000,11,10,0.5703097535272597,0.9528796449218173,6.777577371155218,-2.128897803812535,570.3097535272633,376.6850695898724,1377.5838977967717,112.49744273596409,-0.05268663,0.3894193,0.99755764,-0.9641318,1000.0,0.0,1000,1000,513.9961379571834,56,60000,60,147.39412302989513,26.265364085091278,17.656961675267667,191.31644879025407,1124.1404384039342,5
6.4828506,0.018690355,0.6654531217661698,0.6204157200551103,6.955423840353838,-1.6090832337595318,556.5960819305873,309.55624294348183,974.6607616122657,-3.235246526062075,-0.121549025,0.30789965,0.9927566,-0.99500114,836.4166666666666,365.8067473255365,1000,12,10,0.6031724217155232,0.8779590476950002,6.639663404017604,-2.7624351627735404,603.1724217155231,574.7035592329289,896.351778695274,-1098.926945584196,-0.059536982,0.34554195,0.9999963,-0.9999979,1000.0,0.0,1000,1000,556.5960819305873,66,70000,70,147.38696804572828,26.009109711972997,18.057004333706573,191.45308209140785,1316.3467009160668,6
6.4828506,0.025360214,0.6555752307282976,0.6797769674949007,7.127475682854559,-1.8291630501563687,596.752253207495,317.51301814347875,1084.6477995113605,-268.55731089557105,-0.10452419,0.3221305,0.9988146,-0.9883106,910.2727272727273,283.74255005329,1000,13,10,0.674266244189507,0.6680361842050484,6.2309039465037275,-1.392608326948178,674.2662441895068,323.7378788212061,1190.3746161728254,-171.76174815420447,-0.11723362,0.30794045,0.99229044,-0.9804083,1000.0,0.0,1000,1000,596.752253207495,76,80000,80,158.21987740066834,26.764099244959652,19.76547830691561,204.7494549525436,1523.0537313506939,7
6.4828506,0.021409184,0.5785719449103932,0.8069660768819339,6.660564481874687,-2.427049161824168,484.2165035612563,490.77624831120477,824.0501777436162,-1535.7361574826632,-0.09549689,0.35268867,0.9999995,-0.99999976,836.9166666666666,364.72728586651635,1000,12,10,0.4672735994422177,0.6865553498879534,6.402317472711925,-1.4232146920673432,467.27359944221763,411.3177611660313,861.0772701269514,-401.7943545503246,-0.12367797,0.3748043,0.9861697,-0.9515126,1000.0,0.0,1000,1000,484.2165035612563,86,90000,90,157.5609456677921,28.7215221489314,19.41147904796526,205.69394686468877,1728.8159961351193,8
6.4828506,0.013703055,0.663247069378477,0.7443763656447928,6.714842054941585,-1.597758782754616,604.1276374216043,398.82386396067,1107.659772154911,-755.2383368724313,-0.067158364,0.3327936,0.9872411,-0.99741155,910.8636363636364,281.88074452191904,1000,13,10,0.5117374430048046,0.6237349937501839,6.9035108740676705,-2.989061678411101,511.7374430048045,331.8393596959993,788.1542181580944,-170.01978146896099,-0.107531406,0.36286667,0.9985863,-0.99734133,1000.0,0.0,1000,1000,604.1276374216043,96,100000,100,157.39257212728262,28.822054992895573,20.132531920447946,206.34715904062614,1934.7312835589983,9
