MSE,Inverse-Dynamic-MSE,Test Rewards Mean,Test Rewards Std,Test Rewards Max,Test Rewards Min,Test Returns Mean,Test Returns Std,Test Returns Max,Test Returns Min,Test Actions Mean,Test Actions Std,Test Actions Max,Test Actions Min,Test Ep. Len. Mean,Test Ep. Len. Std,Test Ep. Len. Max,Test Ep. Len. Min,Num Paths,Exploration Rewards Mean,Exploration Rewards Std,Exploration Rewards Max,Exploration Rewards Min,Exploration Returns Mean,Exploration Returns Std,Exploration Returns Max,Exploration Returns Min,Exploration Actions Mean,Exploration Actions Std,Exploration Actions Max,Exploration Actions Min,Exploration Ep. Len. Mean,Exploration Ep. Len. Std,Exploration Ep. Len. Max,Exploration Ep. Len. Min,AverageReturn,Number of train calls total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
5.000755,0.002056607,-0.6094049318355534,0.609025930904157,3.620495786641245,-2.762795910567644,-609.4049318355534,213.25877701050499,-224.8216763126842,-848.4469183326875,0.045530304,0.7985104,1.0,-1.0,1000.0,0.0,1000,1000,10,-0.45549777820844656,0.4489938440409743,4.637846672335801,-2.062361592018632,-455.4977782084467,110.93991676798206,-308.31201111834287,-682.3233946229637,0.0367604,0.80076426,1.0,-1.0,1000.0,0.0,1000,1000,-609.4049318355534,266,270000,270,154.47787392499959,13.566526225999041,8.744334090002667,176.7887342410013,4737.504572141999,26
5.000755,0.002447251,-0.6579510958720728,0.6765658480493297,4.3090908575491245,-2.5997006359357497,-657.9510958720725,299.74017320843177,-323.0236879423439,-1171.7069729751038,0.019655593,0.8258568,1.0,-1.0,1000.0,0.0,1000,1000,10,-0.6583638104782125,0.5971844743732717,3.1088599948287703,-2.6058250787017685,-658.3638104782125,343.84653174540796,-263.5857307642281,-1277.5208710981444,0.011704384,0.819816,1.0,-1.0,1000.0,0.0,1000,1000,-657.9510958720725,276,280000,280,155.1097629950018,13.342833970998981,8.654844612003217,177.107441578004,4914.933514688004,27
5.000755,0.0022333567,-0.7682558033514338,0.7947840413120341,4.5952097390585855,-3.176596144401968,-768.2558033514339,337.9020726059977,-271.56412435837626,-1376.5096230697852,0.039046038,0.7911064,1.0,-1.0,1000.0,0.0,1000,1000,10,-0.7289591043344819,0.5687347134072595,3.51377992777608,-2.4836319166465457,-728.9591043344818,322.83792991725386,-299.35597906928854,-1206.1571475599121,0.04407019,0.8308866,1.0,-1.0,1000.0,0.0,1000,1000,-768.2558033514339,286,290000,290,154.08273554300104,13.563443934999668,8.734645563999948,176.38082504200065,5091.0253096500055,28
5.000755,0.0017549195,-0.47193244067366696,0.6039995694243058,3.747965188353592,-3.0766536927951043,-471.93244067366675,200.03422666806057,-139.50638454829098,-905.0754201832215,0.013390779,0.8026091,1.0,-1.0,1000.0,0.0,1000,1000,10,-0.4910794449959334,0.5879448233026745,4.310406767525107,-3.208039208638456,-491.07944499593293,203.32411960374586,-296.9645339290231,-982.0427150462068,0.030560903,0.7994216,1.0,-1.0,1000.0,0.0,1000,1000,-471.93244067366675,296,300000,300,155.06172144799893,13.274505994999345,8.704246090001106,177.04047353299939,5268.322910440005,29
5.000755,0.0022063947,-0.48833465618794897,0.6044981348725281,4.642355879947159,-2.561598661592972,-488.33465618794924,304.8869526720517,-149.878816752464,-1114.1732324327827,0.043047804,0.7867672,1.0,-1.0,1000.0,0.0,1000,1000,10,-0.6121395992907969,0.6520498766614314,3.3655024422687,-2.8861228163465737,-612.1395992907965,427.3833481703724,-211.4674927205291,-1324.6492460220006,0.055971824,0.79549545,1.0,-1.0,1000.0,0.0,1000,1000,-488.33465618794924,306,310000,310,154.6193304319986,13.534867244999987,8.762970707000932,176.91716838399952,5445.1666132640075,30
5.000755,0.0027563758,-0.7818969976352328,0.6470023245089911,4.133392403979951,-2.4384344401545888,-781.8969976352327,414.53205853393086,-197.15496153326566,-1185.8578405812134,0.06568508,0.8357152,1.0,-1.0,1000.0,0.0,1000,1000,10,-0.5971647624640589,0.6315314169926359,4.215359215116855,-2.8076908865969443,-597.1647624640584,372.02744176786933,-167.0193865308704,-1246.4879458160958,0.07086432,0.8078511,1.0,-1.0,1000.0,0.0,1000,1000,-781.8969976352327,316,320000,320,155.27563030599595,13.463286152000364,8.716487609999604,177.45540406799591,5622.536482289001,31
5.000755,0.002746466,-0.5353157386113184,0.8114485499934906,6.176727488050829,-3.000065094166831,-535.3157386113186,379.6400632201064,-108.13214878046475,-1314.585473530262,0.08411303,0.74264306,1.0,-1.0,1000.0,0.0,1000,1000,10,-0.8333571602428059,0.7236731230946376,3.53328815775752,-2.6941794494691678,-833.3571602428052,493.29488830651724,-319.0243784163045,-1497.6865347355558,0.08604607,0.8077798,1.0,-1.0,1000.0,0.0,1000,1000,-535.3157386113186,326,330000,330,154.99636414200359,13.38466941399929,8.709205379997002,177.09023893599988,5799.553469825003,32
5.000755,0.0022511212,-0.5211540081225013,0.6451755417455604,3.9738603381689854,-3.0163876595549426,-521.1540081225016,277.10478466758826,-264.44424022219357,-1352.4275273695343,0.004323502,0.77993643,1.0,-1.0,1000.0,0.0,1000,1000,10,-0.4449182389689586,0.6441686996947136,4.364879420134985,-2.767079538416353,-444.91823896895846,345.5747573417301,-27.26928913588283,-1110.1731002502463,0.052349087,0.765193,1.0,-1.0,1000.0,0.0,1000,1000,-521.1540081225016,336,340000,340,155.2608225110016,13.323741379999774,8.644640941001853,177.22920483200323,5977.017657041004,33
5.000755,0.0028304262,-0.46799390145863545,0.6365871991297992,4.680196172855863,-2.947003171892959,-467.9939014586354,249.3526547661394,-123.59681254646348,-1252.1499184283725,0.047076546,0.7531832,1.0,-1.0,1000.0,0.0,1000,1000,10,-0.395841981989119,0.5091344959765431,3.768078421676688,-2.7159970438814156,-395.84198198911884,208.96447814433986,-269.50124784181673,-996.6694193556809,0.023027612,0.7793596,1.0,-1.0,1000.0,0.0,1000,1000,-467.9939014586354,346,350000,350,155.5585068159926,13.574483525999312,8.692975954001668,177.82596629599357,6154.647098970998,34
5.000755,0.0014452098,-0.28002783735240266,0.5002193027197289,4.22445993482156,-2.5613209469899507,-280.02783735240274,93.16316375639535,-26.980744909186484,-448.3546739667556,0.107407935,0.7108591,1.0,-1.0,1000.0,0.0,1000,1000,10,-0.5530713215792562,0.8332836820331113,5.02653159508893,-2.9127192311798082,-553.0713215792562,396.7814614360401,10.362997407709615,-1280.3523320412398,0.08088367,0.7353308,1.0,-1.0,1000.0,0.0,1000,1000,-280.02783735240274,356,360000,360,155.27141682900037,13.392717262999213,8.741466891999153,177.40560098399874,6332.078825317994,35
