Disc CE Loss,Disc Acc,Grad Pen,Grad Pen W,Disc Rew Mean,Disc Rew Std,Disc Rew Max,Disc Rew Min,Reward Scale,QF1 Loss,QF2 Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q1 Predictions Min,Q2 Predictions Mean,Q2 Predictions Std,Q2 Predictions Max,Q2 Predictions Min,Alpha Mean,Alpha Std,Alpha Max,Alpha Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Test Rewards Mean,Test Rewards Std,Test Rewards Max,Test Rewards Min,Test Returns Mean,Test Returns Std,Test Returns Max,Test Returns Min,Test Actions Mean,Test Actions Std,Test Actions Max,Test Actions Min,Test Ep. Len. Mean,Test Ep. Len. Std,Test Ep. Len. Max,Test Ep. Len. Min,Num Paths,Exploration Rewards Mean,Exploration Rewards Std,Exploration Rewards Max,Exploration Rewards Min,Exploration Returns Mean,Exploration Returns Std,Exploration Returns Max,Exploration Returns Min,Exploration Actions Mean,Exploration Actions Std,Exploration Actions Max,Exploration Actions Min,Exploration Ep. Len. Mean,Exploration Ep. Len. Std,Exploration Ep. Len. Max,Exploration Ep. Len. Min,AverageReturn,Number of train calls total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.7326244,0.37890625,0.77997863,4.0,-3.8265228,1.6602465,-0.3714711,-8.700309,2.0,0.70329106,0.6976559,-0.14727728,0.0028893743,0.0026785585,0.012309668,-0.0022312042,-0.0023679503,0.0013344551,0.0019699675,-0.0058482243,1.0,0.0,1.0,1.0,-0.16325918,0.39004558,0.8905511,-1.0801897,-0.0004161396,0.0022989034,0.004273489,-0.006975398,0.001019711,0.0012945848,0.0038313319,-0.0026692038,2.0249939672316413,0.4240689744929934,2.4574956344732155,0.9802822663145113,255.50584258239743,1.7156013313311371,260.2212801394583,251.11618265963804,-0.026447186,0.088416964,0.5316234,-0.21967362,126.17610062893081,1.357645905591056,129,123,10,1.0173241463304936,0.5747104405678981,3.345563160004559,-1.5229921764528849,1017.3241463304934,161.45583486647368,1254.9595428820833,825.6110324841587,-0.025248216,0.6008248,0.9993987,-0.9984857,1000.0,0.0,1000,1000,255.50584258239743,6,10000,10,93.93984032200387,0,10.168576841999311,104.10841716400319,117.65784679599892,0
0.07652157,0.9824219,0.0010150099,4.0,-3.3342323,1.4965353,-0.49969473,-7.476542,2.0,2.2226176,2.426951,128.74089,-130.66617,61.67684,-13.247451,-333.11295,-130.98395,61.772198,-13.311353,-335.33307,1.0,0.0,1.0,1.0,0.92193997,1.4237627,5.152022,-4.1736813,0.07160012,0.6741783,1.7418807,-1.3665367,-0.40905324,0.16655932,0.051651977,-0.8963553,2.105070255263293,0.5976580014297297,3.2806231076249888,0.9678476877582667,171.34073870380865,1.8310884939249257,175.1401717660638,165.69861227038936,0.041344468,0.25926113,0.8708708,-0.6556432,81.39430894308943,0.8282414334201366,83,79,10,1.2661228023272142,0.5759217654052855,3.4423257325870407,-0.08143512130849939,1266.122802327214,62.30022088737491,1401.2836000130028,1184.033150095415,-0.050304346,0.5450512,0.99880886,-0.9991914,1000.0,0.0,1000,1000,171.34073870380865,16,20000,20,156.91432389499823,13.561806195000827,10.006732528985594,180.48286261898465,298.23294692099444,1
0.093770064,0.9921875,0.0018467514,4.0,-2.8873208,0.8814658,-0.5414765,-4.780539,2.0,6.4875646,5.6163664,284.67078,-284.50366,86.45942,-71.89993,-514.7816,-285.0868,86.60374,-73.712425,-512.86536,1.0,0.0,1.0,1.0,0.8136902,1.3560058,5.7182364,-2.4865623,0.15253143,0.60677594,1.9867944,-1.7368938,-0.36473092,0.13311686,-0.060008533,-0.73648745,2.495700435118214,0.7288568029879978,3.509889015028511,0.9022264784975098,359.757910924199,28.97709545332802,382.2239422417114,304.6281593113286,-0.025852185,0.28781107,0.8911008,-0.9181893,144.15107913669064,8.554449949785063,152,128,10,1.1926658846321079,0.6224923489073946,4.178533943460518,-0.7768319833581583,1192.6658846321072,51.520013298349404,1282.9535452775435,1126.1335671230927,-0.002842275,0.5629651,0.9982414,-0.99797326,1000.0,0.0,1000,1000,359.757910924199,26,30000,30,156.76894457699382,13.654067814000882,10.14268355101376,180.56569594200846,478.8232191290008,2
0.098936796,0.9902344,0.0018594055,4.0,-2.8460414,0.8310502,-0.34887946,-5.251548,2.0,4.7547135,4.5838943,398.72675,-396.8171,85.61191,-157.15833,-552.01843,-396.91144,85.72434,-156.74208,-552.5861,1.0,0.0,1.0,1.0,0.55743116,1.1011438,3.7458825,-2.5456033,-0.03423461,0.525365,1.4252919,-1.4763243,-0.37938324,0.12329579,-0.08437847,-0.8494096,2.094236118183075,0.504942568022171,2.6604871447323606,0.8929078263186233,223.1809607861591,1.461237255550981,226.46753421370045,219.78591574240238,-0.00080424815,0.17087485,0.65145046,-0.6499261,106.56914893617021,0.7369469214618241,108,105,10,1.2306104902447306,0.49530797724390996,3.5434702995006613,-0.13341654300550765,1230.610490244731,71.96596110574988,1417.409316352152,1152.9827718499257,0.0016557063,0.55671924,0.9974569,-0.99729526,1000.0,0.0,1000,1000,223.1809607861591,36,40000,40,156.53767567800242,13.679825532002724,10.668826182001794,180.88632739200693,659.6559834830041,3
0.108019635,0.98828125,0.0017375883,4.0,-2.7289748,0.8071207,-0.6320056,-4.6972656,2.0,6.859367,6.3449907,477.962,-478.80127,90.0403,-244.98058,-678.5695,-478.13904,89.889175,-243.44112,-674.67334,1.0,0.0,1.0,1.0,0.46867815,1.0899234,3.8049932,-2.4370308,-0.040113624,0.50861573,1.6152208,-1.6583061,-0.4073882,0.13774742,-0.09366896,-1.001652,1.4311071914889988,0.3718864643477219,1.9529369645473644,0.7752980463863604,57.33874073419822,1.3293497203261582,59.80039995472727,54.68668793145696,0.085044496,0.22793941,0.8108982,-0.8099745,40.066,0.5980334438808587,41,39,10,1.20612270281124,0.5070954532166533,4.140358578949101,-0.21313715133428132,1206.1227028112403,34.13348482275596,1263.1261047187847,1163.202356807069,-0.04878575,0.5531733,0.9957952,-0.9993562,1000.0,0.0,1000,1000,57.33874073419822,46,50000,50,156.46439764800743,13.625635716998659,10.844560086006823,180.93459345101292,840.4069689200187,4
0.11250522,0.99609375,0.0018081642,4.0,-2.723353,0.8855778,-0.5400814,-4.620118,2.0,5.0116525,4.730757,519.7705,-516.8275,99.77268,-290.22,-932.0499,-516.63544,99.7922,-292.2316,-934.8797,1.0,0.0,1.0,1.0,0.51575494,1.0746982,3.365549,-3.8930106,-0.1159183,0.50392485,1.3673673,-1.7842563,-0.40573016,0.161762,0.18083096,-0.8540168,2.1347625691565426,0.496179973338202,2.780097562985568,0.852832407143898,274.1801463821826,0.874942977441708,275.78374115643504,271.7893538406959,-0.006144967,0.2659518,0.7323264,-0.9120146,128.43589743589743,0.5086367801250609,129,127,10,1.2807095709328817,0.5738123764864962,3.807005182333684,-0.32883809225365546,1280.7095709328812,43.277307580689715,1366.7732902658045,1201.973108837904,-0.05334458,0.5537613,0.9942978,-0.9975817,1000.0,0.0,1000,1000,274.1801463821826,56,60000,60,155.70938430999377,13.443550122996385,10.979461789997004,180.13239622298715,1020.9742019040132,5
0.10338557,0.9980469,0.002257337,4.0,-2.68451,0.80425787,-0.5174685,-4.8161936,2.0,2.7992358,2.5964859,532.7989,-532.56006,79.49649,-346.3551,-854.4561,-532.198,79.405075,-344.58813,-853.77826,1.0,0.0,1.0,1.0,0.5194013,0.9757312,4.475025,-4.2822833,-0.06629322,0.45812264,1.2473677,-1.4572004,-0.4206755,0.13733165,-0.08553394,-0.8294017,1.9810398467510404,0.4234268197289744,2.7025411307281644,0.806452550052722,298.973171458548,0.967096020898287,301.7867991720608,297.3743863607087,0.0019123068,0.2588219,0.7813787,-0.87010914,150.91729323308272,0.9180324889983276,154,150,10,1.2182577509440404,0.4867339634418385,3.7824813419854366,-0.2601447166165891,1218.2577509440403,46.483365504110694,1325.4861936952564,1167.43994938883,-0.023398789,0.5514823,0.99744266,-0.99792457,1000.0,0.0,1000,1000,298.973171458548,66,70000,70,153.73207849600294,13.879095301002963,10.838813711990952,178.44998750899686,1199.423003567019,6
0.11155683,0.9980469,0.0018084367,4.0,-2.5553923,0.67401624,-0.35293162,-4.4241366,2.0,2.0761504,3.0397706,539.0215,-537.63153,74.653824,-355.3715,-772.37335,-536.5218,74.76383,-353.6173,-771.00287,1.0,0.0,1.0,1.0,0.41060692,0.91460276,2.945653,-3.3475683,-0.05526793,0.45564035,1.1141468,-1.7230681,-0.39978316,0.13201952,-0.05668722,-0.7642517,2.2146572353363108,0.6139510493080359,3.1305721313123156,0.7894695379609136,247.78179023508542,1.4666340798738304,252.11981198664873,245.25176298162464,0.033105657,0.25894672,0.68882674,-0.82284594,111.88268156424581,0.6872189637846606,114,111,10,1.2433942226063341,0.5313037118915092,3.486468588919967,0.222247372204913,1243.3942226063346,51.18154944603591,1369.8237098408808,1186.2020203368252,-0.02463533,0.55137867,0.9988851,-0.9984236,1000.0,0.0,1000,1000,247.78179023508542,76,80000,80,156.69669787701423,13.877589376999822,10.710925632003637,181.2852128860177,1380.716772398031,7
0.10594526,1.0,0.0017038853,4.0,-2.6546054,0.66619056,-0.73167294,-4.3050056,2.0,3.664256,2.9370308,563.4869,-560.00195,56.62446,-365.03088,-640.95514,-560.27716,56.56941,-365.82455,-641.16376,1.0,0.0,1.0,1.0,0.18191731,0.9497678,2.142016,-4.9977436,-0.01668903,0.41143537,1.2340114,-1.0557035,-0.38434651,0.10618395,-0.11380904,-0.70167965,1.7606796434516279,0.4189309982427977,2.230879694870964,0.7578737106507387,126.71826728841788,1.0380616738206694,129.92985240579725,123.52899825993563,0.025157884,0.20810673,0.6320616,-0.78178024,71.97122302158273,0.3272392925336448,73,71,10,1.2612500100865682,0.5392144228649034,3.404103720082398,0.2589553818492078,1261.2500100865673,34.423895627082764,1302.657043990137,1212.927633294444,-0.026740374,0.5551187,0.9950707,-0.9970458,1000.0,0.0,1000,1000,126.71826728841788,86,90000,90,157.36261408698192,13.8873906039953,10.857148474009591,182.1071531649868,1562.8147036840091,8
0.11296749,0.9980469,0.0027288238,4.0,-2.6295164,0.64898777,-0.8174853,-3.8848033,2.0,5.124338,1.1351432,570.0769,-572.5819,54.18342,-372.81393,-641.4393,-570.4697,54.392265,-373.74042,-640.5298,1.0,0.0,1.0,1.0,0.3454544,0.85788214,2.8253584,-2.0826812,-0.05445196,0.4196057,1.4406358,-1.2379745,-0.39251962,0.114488624,-0.0434208,-0.84285164,1.9230108761840594,0.5269544980922295,2.511096949814276,0.7363162385677021,152.03187172108125,1.9268479770946743,155.66067008487659,147.9594114354293,0.032716133,0.23303077,0.66705394,-0.79637325,79.0592885375494,0.5834024229481858,80,78,10,1.2386677919125408,0.47863198710315913,3.1984315027910624,0.2678259579706875,1238.6677919125407,36.7468428199018,1309.297752101185,1197.6243283146175,-0.032771375,0.55185074,0.99636537,-0.9978256,1000.0,0.0,1000,1000,152.03187172108125,96,100000,100,157.0946987179923,13.878517504999763,10.871327416003624,181.84454363899567,1744.7569623270028,9
0.117878884,0.9941406,0.0023593216,4.0,-2.5151815,0.6245962,-0.7086346,-3.8492684,2.0,1.5958817,2.042488,575.12506,-572.1333,57.61548,-380.6885,-640.9643,-571.84265,57.770035,-378.47064,-640.4435,1.0,0.0,1.0,1.0,0.28968623,0.81658566,2.4095776,-2.38869,-0.04556297,0.3841557,1.1269568,-1.1896244,-0.38417578,0.11893763,-0.06352366,-0.7046415,2.0579827842157545,0.492863691869398,2.7896382149774324,0.7425698631732859,237.02284480277999,1.9044775061249155,241.62736971745568,231.9954603666928,0.01703426,0.27148566,0.702914,-0.79238516,115.17241379310344,0.4343550259239352,116,114,10,1.274397181959515,0.5356755569735702,3.3337653875729587,0.26318129695024106,1274.3971819595151,48.42739811790689,1330.2812643045775,1197.6774335639286,-0.038539067,0.5546904,0.9976702,-0.9963821,1000.0,0.0,1000,1000,237.02284480277999,106,110000,110,155.0084499369841,13.97638308400201,10.888468273013132,179.87330129399925,1924.7174732549902,10
0.11885182,1.0,0.0017179786,4.0,-2.5937696,0.6303103,-0.8480805,-4.068859,2.0,0.77738106,2.3289375,574.1993,-571.4032,61.947773,-382.16724,-636.09454,-570.18274,61.86969,-380.80414,-634.97076,1.0,0.0,1.0,1.0,0.29722026,0.7995947,2.3086734,-3.1313472,-0.0653762,0.38114542,0.943921,-1.063237,-0.3943348,0.11918691,-0.04333879,-0.8191633,2.23451338273309,0.6411145928610361,3.2881913335763424,0.7293030955027343,251.60871758494,1.5987844721656606,256.5258546512846,247.8425599419239,0.01431832,0.30109683,0.70722246,-0.8265012,112.60112359550561,0.7741605648893315,115,111,10,1.242632507189168,0.5139587183414891,3.3046517147504635,0.30737580714874524,1242.6325071891677,45.34489468902556,1336.0684075321635,1188.7155052970454,-0.032300945,0.5530938,0.9973504,-0.99693024,1000.0,0.0,1000,1000,251.60871758494,116,120000,120,155.45611883700622,14.063602548005292,10.980341687994951,180.50006307300646,2105.30112861799,11
