Disc CE Loss,Disc Acc,Grad Pen,Grad Pen W,Disc Rew Mean,Disc Rew Std,Disc Rew Max,Disc Rew Min,Reward Scale,QF1 Loss,QF2 Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q1 Predictions Min,Q2 Predictions Mean,Q2 Predictions Std,Q2 Predictions Max,Q2 Predictions Min,Alpha Mean,Alpha Std,Alpha Max,Alpha Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Test Rewards Mean,Test Rewards Std,Test Rewards Max,Test Rewards Min,Test Returns Mean,Test Returns Std,Test Returns Max,Test Returns Min,Test Actions Mean,Test Actions Std,Test Actions Max,Test Actions Min,Test Ep. Len. Mean,Test Ep. Len. Std,Test Ep. Len. Max,Test Ep. Len. Min,Num Paths,Exploration Rewards Mean,Exploration Rewards Std,Exploration Rewards Max,Exploration Rewards Min,Exploration Returns Mean,Exploration Returns Std,Exploration Returns Max,Exploration Returns Min,Exploration Actions Mean,Exploration Actions Std,Exploration Actions Max,Exploration Actions Min,Exploration Ep. Len. Mean,Exploration Ep. Len. Std,Exploration Ep. Len. Max,Exploration Ep. Len. Min,AverageReturn,Number of train calls total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.73866963,0.1953125,0.87281656,8.0,-7.779686,2.3754172,-0.32417342,-10.000046,2.0,0.8637378,0.870337,0.03714395,-0.0025845314,0.005842697,0.0144029865,-0.0135157695,0.002110554,0.002990082,0.008696266,-0.0053595547,0.0,0.0,0.0,0.0,0.5270228,0.5457213,2.1833186,-0.6913516,-0.002255163,0.004118739,0.005598092,-0.01661669,0.0005736256,0.0025252549,0.0069150375,-0.007863547,-0.21531808634216887,0.5640271681272568,1.2240512480363481,-2.416657327382198,-13.827285826768252,4.693308219923176,-6.036378711672602,-22.01633700414905,0.20967355,0.87752694,1.0,-0.99936855,64.21794871794872,2.0057445442671233,67,61,10,0.9444921728489347,1.1629975478753096,11.51372053629571,-6.810033214447097,944.4921728489346,212.38512789925068,1473.8212459553843,622.9633949259645,0.20224935,0.73373497,1.0,-1.0,1000.0,0.0,1000,1000,-13.827285826768252,6,10000,10,120.2113455105573,0,16.59318218147382,136.80452769203112,158.6320857470855,0
0.015376255,0.99609375,0.023778414,8.0,-8.720548,2.1632864,-1.2763498,-10.000046,2.0,10.073297,11.344422,236.32372,-239.4484,71.5383,5.145839,-359.26147,-238.9695,71.44296,5.233028,-358.7716,0.0,0.0,0.0,0.0,34.61506,9.371217,68.91998,10.330768,1.3714179,3.1853628,11.51568,-8.171167,-2.004317,0.8165528,0.22999226,-4.47063,-0.43528656869384774,0.7529546611150614,1.2320812521252404,-2.0490076467490086,-34.56382634747577,1.3251763862848334,-31.722174620513012,-38.73003587609614,0.5319254,0.6299485,0.99999994,-0.99970037,79.4047619047619,1.3926027443704534,84,76,10,1.0146193013698173,1.60546945907916,12.495162389068565,-8.34722439481008,1014.6193013698175,249.3854679650224,1422.295594873033,479.36285865290756,0.16292235,0.6637133,1.0,-1.0,1000.0,0.0,1000,1000,-34.56382634747577,16,20000,20,213.49162857001647,22.056361698079854,13.795496759004891,249.34348702710122,407.93632983230054,1
0.013498294,0.99609375,0.03536737,8.0,-8.4802265,2.4490957,-0.6469259,-10.000046,2.0,45.905487,64.1151,608.8159,-617.1822,172.96283,-19.272556,-837.9752,-620.3799,173.5537,-10.183114,-853.54865,0.0,0.0,0.0,0.0,29.233524,9.095893,64.40895,14.994035,0.53524524,2.2899423,18.385036,-7.8507276,-3.2565708,0.705867,0.79288465,-5.3729525,0.22556818127828135,0.5598087608742941,1.3121179982876112,-1.331314270960585,27.34569897036037,3.846585647708986,41.93595701539056,20.121161154817855,0.9212596,0.2911799,1.0,-0.9970431,121.23030303030303,4.823709426929172,139,112,10,0.7225228704948339,1.5076429522813286,7.699032388450077,-9.468475677421143,722.5228704948338,324.98221725907956,1309.3173053445769,308.99878937712043,0.18152846,0.7090803,1.0,-1.0,1000.0,0.0,1000,1000,27.34569897036037,26,30000,30,204.42293949984014,21.906716225203127,15.100446574855596,241.43010229989886,646.2697630203329,2
0.011374358,1.0,0.058939688,8.0,-8.202305,2.5716212,-1.1434065,-10.000046,2.0,91.4955,92.28595,861.7705,-868.5692,255.29747,-93.3776,-1492.2021,-868.62427,253.9281,-92.35549,-1493.4983,0.0,0.0,0.0,0.0,36.245346,11.356844,74.66527,14.335299,1.0678669,3.0361543,19.936306,-10.747682,-3.128191,0.85970736,1.1237366,-6.672387,-0.23194005264706105,0.5368151996741825,1.3112047865449343,-1.0725136443631282,-9.164148194528453,0.8075459636781779,-7.282326729654416,-10.921722922627309,0.5870675,0.67108405,1.0,-1.0,39.510848126232744,0.5699412324902843,41,38,10,1.1582797499881028,1.51412085610662,9.743951471542188,-10.325391724644287,1158.2797499881021,457.4037402108978,2093.6838717325268,521.1880998122859,0.32713953,0.7357613,1.0,-1.0,1000.0,0.0,1000,1000,-9.164148194528453,36,40000,40,186.8229185929522,18.77422418212518,12.953431851230562,218.55057462630793,863.9056689580902,3
0.019078378,0.9980469,0.06679658,8.0,-7.775909,2.9442906,-0.29953495,-10.000046,2.0,110.69265,129.0794,841.27325,-845.23474,308.51038,-168.7739,-1575.0894,-850.923,309.25842,-164.56837,-1574.9,0.0,0.0,0.0,0.0,38.902473,12.969687,73.77795,18.856213,1.1716973,3.3879716,17.532883,-10.971359,-3.3125722,0.93739545,0.49765313,-6.5032787,-0.21145398653421238,0.6348095277988729,2.237003081190263,-2.794454821489388,-18.312644385540494,9.094579637484614,47.85799104420627,-53.01678851383735,0.38731292,0.7150426,1.0,-0.99965847,86.60344827586206,22.72450420928187,208,34,10,0.7066354643079703,1.4569305491279583,7.379414562736625,-8.876530904055747,706.6354643079699,512.5738857307815,1218.1900366686673,-686.240687949349,0.30363277,0.7163184,1.0,-1.0,1000.0,0.0,1000,1000,-18.312644385540494,46,50000,50,184.95896703843027,17.84069795627147,13.061850419268012,215.86151541396976,1080.348084231373,4
0.018611126,1.0,0.05524505,8.0,-7.6015553,2.9588418,-0.63798213,-10.000046,2.0,142.19562,141.40268,873.2515,-886.9014,180.4613,-369.48767,-1270.5665,-885.172,178.4657,-374.70288,-1260.8325,0.0,0.0,0.0,0.0,34.792427,9.205713,64.546524,17.070944,0.8419452,2.7284265,15.662598,-7.057777,-3.601902,0.94569355,0.21610743,-7.765183,0.019388854819058932,0.4469888925736898,1.2876191040686364,-1.2682879438073444,0.7381771988716238,1.3572990425416163,27.791141420156222,-5.903986965539173,0.28328556,0.6958849,1.0,-0.9959072,38.0722433460076,2.6027386690880028,92,36,10,0.631559944070835,1.2383116855499137,8.079773774137783,-9.366678992105108,631.5599440708352,282.62980499515515,1079.450245286747,30.07772516559795,0.17499766,0.7454371,1.0,-1.0,1000.0,0.0,1000,1000,0.7381771988716238,56,60000,60,189.66140673821792,18.443467047065496,13.086120976135135,221.19099476141855,1301.0900333141908,5
0.026444076,0.9980469,0.07052444,8.0,-7.166765,3.1601675,-1.3729215,-10.000046,2.0,76.851204,82.52028,921.5743,-924.3747,225.00603,-469.76248,-1361.4569,-925.5562,225.72601,-469.6222,-1357.9916,0.0,0.0,0.0,0.0,37.069588,11.369857,73.058495,16.108128,1.3497858,3.116188,13.983263,-6.9816346,-3.5810156,1.1523552,0.72681826,-6.6574187,0.9432663292968354,0.7589181929764088,3.7000451378588566,-2.044412271352361,212.80724298821525,161.64187942365723,557.4780753232001,66.50505045079757,0.88050437,0.34938815,1.0,-0.99600977,225.6067415730337,65.7304023816059,404,148,10,1.051943063674012,1.199268570297511,5.946325537243431,-7.721467146278497,1051.9430636740121,452.691982824239,1689.9472556791957,427.33768707418943,0.2847489,0.72594833,1.0,-1.0,1000.0,0.0,1000,1000,212.80724298821525,66,70000,70,182.11750006349757,18.073451177217066,12.810818555764854,213.0017697964795,1513.8468270208687,6
0.020645194,1.0,0.054937527,8.0,-7.2673388,3.1536582,-1.4541025,-10.000046,2.0,81.391174,102.070854,970.7795,-970.0083,283.24832,-429.3083,-1454.1786,-969.6311,283.18207,-424.26572,-1441.6191,0.0,0.0,0.0,0.0,35.20781,11.9293585,70.796616,15.356916,1.4883237,2.9497502,11.948106,-6.235691,-3.388259,1.1610754,0.63551563,-6.4817185,0.9817271865888797,0.9683890351310849,4.302764662648217,-2.382298041192301,193.25588411292264,200.1338192696687,644.7192953052569,-15.871289177870116,0.80507076,0.43574828,1.0,-0.9998805,196.85294117647058,77.66890475511603,392,67,10,0.8659405770513058,1.2169152664716472,6.038286748681652,-6.236826433073052,865.9405770513055,385.24168408246334,1352.4927378360826,106.67581002758104,0.3373087,0.6670165,1.0,-0.9999999,1000.0,0.0,1000,1000,193.25588411292264,76,80000,80,182.96713012224063,17.72730929777026,13.276325328741223,213.97076474875212,1728.5646680272184,7
0.02682488,1.0,0.06293562,8.0,-7.044071,3.2054074,-1.1931242,-10.000046,2.0,104.367035,92.79229,1048.7677,-1042.6393,317.32083,-374.70114,-1647.1188,-1044.2502,317.79675,-377.15558,-1650.6769,0.0,0.0,0.0,0.0,35.56259,10.07624,64.88293,17.788288,1.3225297,2.7727406,13.588268,-4.6656346,-3.561147,1.2302437,0.16750002,-6.6006494,0.9445146252085674,0.5828159238595906,3.4098375920688917,-1.33157739089772,555.1317244332981,315.37489831999926,1001.3157775491075,24.024533245904937,0.2681405,0.8796962,1.0,-0.99999964,587.7428571428571,316.5148918055735,1000,82,10,1.005643718053696,1.1090799768386175,10.909879970802383,-5.358048261717821,1005.6437180536959,242.95965709583567,1336.9590800238743,616.3701369719591,0.34261966,0.7303179,1.0,-0.99999994,1000.0,0.0,1000,1000,555.1317244332981,86,90000,90,182.32714173709974,18.674181181937456,12.984416243620217,213.9857391626574,1943.3073078310117,8
0.028999269,1.0,0.055241108,8.0,-6.419579,3.3183568,-0.89361036,-10.000046,2.0,83.47888,78.99031,991.4911,-995.2418,375.6192,-404.87772,-1725.0197,-990.6631,371.90396,-403.00952,-1716.939,0.0,0.0,0.0,0.0,41.984562,11.879836,66.30267,15.177632,1.632681,3.4972348,14.935806,-8.018217,-3.467414,1.3782525,0.013596058,-7.4333262,1.1967899049792725,0.48475428210579624,3.1313017202318605,0.1890534204581324,525.4688198014427,256.06765038807515,986.0330331149014,375.64902989295854,0.7524469,0.4845169,1.0,-0.99889576,439.0652173913044,314.4790310403592,1000,254,10,1.0301971316002152,0.814506280041637,7.797614118164648,-7.704983860756965,1030.1971316002143,126.3633252221476,1265.766332728712,843.5691703378341,0.31280392,0.7309526,1.0,-1.0,1000.0,0.0,1000,1000,525.4688198014427,96,100000,100,200.48602895950899,19.235064961016178,15.300353809725493,235.02144773025066,2177.633294268977,9
0.02937799,1.0,0.078544356,8.0,-6.9462376,3.288394,-1.6365968,-10.000046,2.0,80.10596,100.09697,1068.1539,-1078.7004,418.98215,-446.9453,-1738.0134,-1082.7732,421.61258,-448.99338,-1744.4578,0.0,0.0,0.0,0.0,38.969387,11.762255,66.35764,17.159714,1.647555,3.0631123,12.2028,-4.7638035,-3.4616783,1.3420717,0.43239856,-6.6592274,1.2138062023738683,0.5973790416412554,3.5301042369357982,-0.04380679716143631,461.6814949746189,211.1811030575238,964.5609278140652,360.16784390722455,0.73514295,0.48094636,1.0,-0.9998356,380.35849056603774,261.3842753668291,1000,258,10,1.231062941013856,0.767040324083908,8.795023138324012,-3.7725490872360994,1231.062941013856,142.80398904702062,1577.845737242371,986.904699796259,0.30214703,0.60429555,1.0,-0.99999225,1000.0,0.0,1000,1000,461.6814949746189,106,110000,110,189.76465745689347,18.556684101000428,12.750193518120795,221.0715350760147,2399.1034089564346,10
0.031352136,1.0,0.098228976,8.0,-7.094881,3.5010848,-1.0053246,-10.000046,2.0,98.34538,105.371574,1081.6592,-1071.6821,413.4597,-458.46057,-1599.5486,-1070.1807,412.95886,-456.33658,-1609.8438,0.0,0.0,0.0,0.0,36.005547,10.864045,59.71834,14.481405,1.6824168,2.6706958,13.0679,-5.103,-3.4316769,1.435804,0.53886414,-6.455971,1.4428438664807157,0.8007584872366963,3.8464477587361166,-1.5216076335740605,447.99192174328925,65.78343076132501,516.428194616873,32.66551511700322,0.69110346,0.54139066,1.0,-0.999957,310.4923076923077,24.761088006990747,356,158,10,0.892307973133021,0.8830338186091353,6.029229100097526,-4.021026824060689,892.3079731330208,280.8481050113756,1242.2764614277148,198.6316364855627,0.28610379,0.6901929,1.0,-0.9999997,1000.0,0.0,1000,1000,447.99192174328925,116,120000,120,193.89590602833778,18.94898610888049,12.477046380750835,225.3219385179691,2624.2013035397977,11
